"","draw","date","a","c","b","d","r0","recovery_time"
"1",1,2020-04-01,0.438870924473897,0.525843443441696,0.0427121126537223,7.85632382369609e-05,0.0560303184865838,1.9017067008669
"2",1,2020-04-06,0.803725390918239,0.573881920208949,0.073041053705537,2.25717722023308e-05,0.0560088362424885,1.74251873910909
"3",1,2020-04-11,0.920137801183919,0.62249264682948,0.506546650373513,1.31020156931992e-05,0.0561431942067705,1.60644467865326
"4",2,2020-04-01,0.437411987517572,0.524970512951173,0.042805931255068,7.8711003117591e-05,0.833212488561724,1.90486889326107
"5",2,2020-04-06,0.803629986434854,0.573073013864572,0.0731857055304741,2.25634443612766e-05,0.833425508549585,1.74497834622574
"6",2,2020-04-11,0.919971090532803,0.622407281530234,0.505815603393617,1.31140586414369e-05,0.834574107851982,1.60666500806582
"7",3,2020-04-01,0.437399755687423,0.524821656165328,0.0427719043164689,7.86735119269989e-05,1.4023169247065,1.90540917710336
"8",3,2020-04-06,0.803804405546001,0.573201779495174,0.0731944936783577,2.2550803621228e-05,1.40230619356053,1.74458634947141
"9",3,2020-04-11,0.919894121950925,0.622151760103634,0.505447155094697,1.31090044442952e-05,1.40166188515185,1.60732487493635
"10",4,2020-04-01,0.43909473109312,0.526130306418513,0.042700219843059,7.86151612431954e-05,1.47808535959121,1.90066982988915
"11",4,2020-04-06,0.803968709736351,0.5735824867987,0.0730067889177106,2.26207433441886e-05,1.47856870451945,1.74342840483369
"12",4,2020-04-11,0.920148001052941,0.6219031989399,0.507510342905483,1.31039469518877e-05,1.47956788551889,1.60796728768176
"13",5,2020-04-01,0.438910541956834,0.52550961241892,0.042497563809209,7.79986238110616e-05,1.64017189612969,1.90291476381755
"14",5,2020-04-06,0.804641679553832,0.57301534109791,0.073269472588961,2.24394549856959e-05,1.64079413980029,1.74515397455848
"15",5,2020-04-11,0.920098207602562,0.621963029285681,0.508990849185264,1.31465150338529e-05,1.64030812240496,1.60781260768585
"16",6,2020-04-01,0.438658130741625,0.525826680328251,0.0426912409082523,7.85507387927323e-05,0.36840371951101,1.90176732640448
"17",6,2020-04-06,0.80348055257102,0.574363279242993,0.072957518991624,2.26976180638836e-05,0.36859494465046,1.74105837914637
"18",6,2020-04-11,0.920150847967916,0.62217367957558,0.506891438135852,1.30893240773839e-05,0.367440943629831,1.60726824812351
"19",7,2020-04-01,0.437399707352438,0.524481830515096,0.0425716121149305,7.87825645058173e-05,NA,1.90664374210618
"20",7,2020-04-06,0.803143802768713,0.573765422088323,0.0733185944162773,2.26942649331273e-05,NA,1.74287254251105
"21",7,2020-04-11,0.920057117900937,0.622889019431426,0.507854639387299,1.31041552943765e-05,NA,1.6054224248692
"22",8,2020-04-01,0.439897773043946,0.524996715604767,0.0424532248859267,7.79384529918573e-05,NA,1.90477382100963
"23",8,2020-04-06,0.804246815224469,0.573061489019854,0.0733593754176009,2.25897473805631e-05,NA,1.74501343950083
"24",8,2020-04-11,0.920222238522601,0.621338724773973,0.511920623711642,1.30986926759013e-05,NA,1.60942809473814
"25",9,2020-04-01,0.437462078434202,0.524951309393437,0.0427808566741589,7.87591927269303e-05,NA,1.90493857640905
"26",9,2020-04-06,0.804072719554742,0.572009699523565,0.0731864918832764,2.26138324651518e-05,NA,1.74822210328411
"27",9,2020-04-11,0.919926358127116,0.622391284094508,0.506472223819897,1.30965453743818e-05,NA,1.60670630446707
"28",10,2020-04-01,0.439724650098063,0.524883173695273,0.0425062970077167,7.78675564199017e-05,NA,1.90518585871179
"29",10,2020-04-06,0.804931396544887,0.572977959263551,0.0732129275221096,2.26805294703657e-05,NA,1.74526783069509
"30",10,2020-04-11,0.920300421023585,0.621397035737037,0.511340409895066,1.31331119403597e-05,NA,1.6092770684268
"31",11,2020-04-01,0.438527706846881,0.525801740318649,0.0426610738872557,7.8577181036068e-05,NA,1.90185753168861
"32",11,2020-04-06,0.803223792841355,0.574369819409058,0.072998360634034,2.25914128720947e-05,NA,1.74103855426953
"33",11,2020-04-11,0.920121673182212,0.622275364795587,0.506879115418219,1.30903181242889e-05,NA,1.60700560647856
"34",12,2020-04-01,0.438968491488158,0.525439521212228,0.0425115872438655,7.80170495291822e-05,NA,1.90316860386315
"35",12,2020-04-06,0.804678404238334,0.573146165814694,0.0732730343357203,2.24407717054308e-05,NA,1.74475563066632
"36",12,2020-04-11,0.920118678364434,0.621879642578848,0.508901884680582,1.31464985600167e-05,NA,1.60802819634542
"37",13,2020-04-01,0.437848129370698,0.524739723722739,0.042667510890647,7.86685883258561e-05,NA,1.90570668617491
"38",13,2020-04-06,0.803182081397953,0.573674880450306,0.0732197090779627,2.26939488305785e-05,NA,1.74314761562342
"39",13,2020-04-11,0.919999553723023,0.622259675787015,0.506232851432681,1.31055359301211e-05,NA,1.6070461238473
"40",14,2020-04-01,0.441119177180333,0.525052063555802,0.0423966460387223,7.79288433749128e-05,NA,1.90457303077282
"41",14,2020-04-06,0.804719807384812,0.574329227659798,0.0733317547467054,2.26400062650127e-05,NA,1.74116160529505
"42",14,2020-04-11,0.920112600203444,0.621160916557884,0.511573330116567,1.30881356377256e-05,NA,1.60988879587181
"43",15,2020-04-01,0.437347728326901,0.525273280188399,0.0425088482659832,7.80882710842478e-05,NA,1.90377092785175
"44",15,2020-04-06,0.804579718617427,0.57288318336919,0.0732189103754745,2.22623773267222e-05,NA,1.74555656201826
"45",15,2020-04-11,0.920177831041282,0.62145657847424,0.508692274729606,1.31337973770398e-05,NA,1.60912288104687
"46",16,2020-04-01,0.438311721615119,0.525162418598226,0.0426326140993021,7.79446971391494e-05,NA,1.90417281318267
"47",16,2020-04-06,0.804868189636534,0.572844447730847,0.0731913658914761,2.25461378227885e-05,NA,1.74567459623848
"48",16,2020-04-11,0.920270098304815,0.621327096092792,0.510270331530269,1.31420269103039e-05,NA,1.60945821659556
"49",17,2020-04-01,0.43801801950854,0.526122564606443,0.0426374570182069,7.85978640094611e-05,NA,1.90069779795138
"50",17,2020-04-06,0.804070382465437,0.573053099299796,0.0731415097170482,2.25256695672677e-05,NA,1.74503898717568
"51",17,2020-04-11,0.920149966580422,0.621995261506344,0.507124210409442,1.31018410866159e-05,NA,1.60772928973479
"52",18,2020-04-01,0.43954567295416,0.524760433129262,0.0424906553026773,7.78925230851621e-05,NA,1.90563147841917
"53",18,2020-04-06,0.804945442624367,0.572806314603622,0.073274478839188,2.25838066318544e-05,NA,1.74579081009607
"54",18,2020-04-11,0.920310511061663,0.621323480390901,0.511476579864882,1.31202593046563e-05,NA,1.60946758260425
"55",19,2020-04-01,0.437403372829982,0.524316749912031,0.0424939399607821,7.88022603282144e-05,NA,1.9072440469769
"56",19,2020-04-06,0.803249806289998,0.575157715465304,0.0733243883704842,2.27948171341098e-05,NA,1.73865354338679
