date,week,tests,confirmed,deaths,recovered,region
2020-05-22,20,7748,53.0,2.0,61.0,CZ
2020-05-23,20,5059,76.0,1.0,40.0,CZ
2020-05-24,20,3849,62.0,1.0,32.0,CZ
2020-05-25,21,7508,44.0,1.0,88.0,CZ
2020-05-26,21,7241,47.0,1.0,80.0,CZ
2020-05-27,21,6846,30.0,,81.0,CZ
2020-05-28,21,6013,50.0,2.0,48.0,CZ
2020-05-29,21,6113,51.0,,63.0,CZ
2020-05-30,21,3548,29.0,,41.0,CZ
2020-05-31,21,2141,25.0,,24.0,CZ
2020-06-01,22,5721,26.0,2.0,76.0,CZ
2020-06-02,22,6478,57.0,1.0,86.0,CZ
2020-06-03,22,5313,62.0,1.0,80.0,CZ
2020-06-04,22,5011,53.0,3.0,56.0,CZ
2020-06-05,22,4173,25.0,,68.0,CZ
2020-06-06,22,2150,37.0,,22.0,CZ
2020-06-07,22,2127,57.0,1.0,24.0,CZ
2020-06-08,23,4684,68.0,,52.0,CZ
2020-06-09,23,4552,52.0,1.0,47.0,CZ
2020-06-10,23,4068,67.0,1.0,73.0,CZ
2020-06-11,23,3739,51.0,1.0,47.0,CZ
2020-06-12,23,3726,47.0,1.0,61.0,CZ
2020-06-13,23,1652,50.0,,23.0,CZ
2020-06-14,23,1121,31.0,1.0,12.0,CZ
2020-06-15,24,3673,36.0,1.0,41.0,CZ
2020-06-16,24,4023,41.0,1.0,62.0,CZ
2020-06-17,24,4036,47.0,1.0,58.0,CZ
2020-06-18,24,4403,108.0,2.0,52.0,CZ
2020-06-19,24,3574,116.0,1.0,53.0,CZ
2020-06-20,24,1699,38.0,1.0,17.0,CZ
2020-06-21,24,1313,48.0,1.0,17.0,CZ
2020-06-22,25,3910,57.0,1.0,57.0,CZ
2020-06-23,25,4567,87.0,,56.0,CZ
2020-06-24,25,4287,123.0,4.0,80.0,CZ
2020-06-25,25,4047,84.0,,87.0,CZ
2020-06-26,25,4533,147.0,1.0,77.0,CZ
2020-06-27,25,2554,202.0,1.0,23.0,CZ
2020-06-28,25,2423,243.0,,21.0,CZ
2020-06-29,26,4485,178.0,,54.0,CZ
2020-06-30,26,4412,126.0,1.0,65.0,CZ
2020-07-01,26,4593,83.0,,125.0,CZ
2020-07-02,26,4665,124.0,1.0,94.0,CZ
2020-07-03,26,5109,127.0,,91.0,CZ
2020-07-04,26,1687,118.0,2.0,44.0,CZ
2020-07-05,26,1524,73.0,2.0,32.0,CZ
2020-07-06,27,1714,50.0,1.0,42.0,CZ
2020-07-07,27,4159,115.0,,107.0,CZ
2020-07-08,27,5406,106.0,,240.0,CZ
2020-07-09,27,4682,95.0,1.0,136.0,CZ
2020-07-10,27,5333,117.0,,181.0,CZ
2020-07-11,27,2321,52.0,,202.0,CZ
2020-07-12,27,1787,55.0,1.0,207.0,CZ
2020-07-13,28,4424,61.0,1.0,284.0,CZ
2020-07-14,28,4802,98.0,2.0,160.0,CZ
2020-07-15,28,4694,124.0,,120.0,CZ
2020-07-16,28,4730,134.0,,140.0,CZ
2020-07-17,28,4727,120.0,2.0,179.0,CZ
2020-07-18,28,2334,99.0,,73.0,CZ
2020-07-19,28,1830,85.0,1.0,48.0,CZ
2020-07-20,29,5785,153.0,,114.0,CZ
2020-07-21,29,6089,195.0,2.0,121.0,CZ
2020-07-22,29,6609,225.0,2.0,119.0,CZ
2020-07-23,29,5557,217.0,1.0,98.0,CZ
2020-07-24,29,6238,263.0,3.0,90.0,CZ
2020-07-25,29,3337,125.0,2.0,61.0,CZ
2020-07-26,29,1784,105.0,1.0,56.0,CZ
2020-07-27,30,6552,182.0,2.0,126.0,CZ
2020-07-28,30,7909,263.0,2.0,117.0,CZ
2020-07-29,30,7509,265.0,2.0,117.0,CZ
2020-07-30,30,7623,249.0,2.0,145.0,CZ
2020-07-31,30,8206,215.0,2.0,193.0,CZ
2020-08-01,30,4707,115.0,2.0,75.0,CZ
2020-08-02,30,2647,99.0,2.0,93.0,CZ
2020-08-03,31,7746,191.0,2.0,225.0,CZ
2020-08-04,31,8414,270.0,2.0,231.0,CZ
2020-08-05,31,6945,232.0,1.0,197.0,CZ
2020-08-06,31,7362,204.0,1.0,233.0,CZ
2020-08-07,31,9206,302.0,,262.0,CZ
2020-08-08,31,5511,164.0,,121.0,CZ
2020-08-09,31,2928,115.0,1.0,64.0,CZ
2020-08-10,32,6483,133.0,,306.0,CZ
2020-08-11,32,8693,273.0,2.0,251.0,CZ
2020-08-12,32,7922,267.0,,232.0,CZ
2020-08-13,32,7412,312.0,1.0,220.0,CZ
2020-08-14,32,7998,271.0,2.0,246.0,CZ
2020-08-15,32,5113,171.0,2.0,107.0,CZ
2020-08-16,32,2979,109.0,2.0,76.0,CZ
2020-08-17,33,7252,178.0,4.0,281.0,CZ
2020-08-18,33,7690,260.0,,276.0,CZ
2020-08-19,33,7655,294.0,3.0,271.0,CZ
2020-08-20,33,8238,232.0,3.0,242.0,CZ
2020-08-21,33,9712,470.0,3.0,266.0,CZ
2020-08-22,33,5118,218.0,,126.0,CZ
2020-08-23,33,2404,122.0,3.0,91.0,CZ
2020-08-24,34,7413,242.0,1.0,281.0,CZ
2020-08-25,34,8763,350.0,2.0,278.0,CZ
2020-08-26,34,8885,365.0,1.0,272.0,CZ
2020-08-27,34,9198,332.0,,331.0,CZ
2020-08-28,34,10826,465.0,,268.0,CZ
