date,week,region,deaths,tests
2020-06-14,24,PL22,6.0,0.0
2020-06-14,24,PL41,1.0,0.0
2020-06-14,24,PL82,2.0,0.0
2020-06-14,24,PL9,1.0,0.0
2020-06-15,25,PL22,3.0,0.0
2020-06-15,25,PL42,1.0,0.0
2020-06-15,25,PL51,1.0,0.0
2020-06-15,25,PL52,1.0,0.0
2020-06-15,25,PL63,1.0,0.0
2020-06-15,25,PL9,2.0,0.0
2020-06-16,25,PL22,3.0,0.0
2020-06-16,25,PL41,1.0,0.0
2020-06-16,25,PL51,3.0,0.0
2020-06-16,25,PL71,6.0,0.0
2020-06-16,25,PL9,3.0,0.0
2020-06-17,25,PL22,4.0,0.0
2020-06-17,25,PL71,4.0,0.0
2020-06-17,25,PL72,1.0,0.0
2020-06-17,25,PL9,5.0,0.0
2020-06-18,25,PL21,1.0,0.0
2020-06-18,25,PL22,5.0,0.0
2020-06-18,25,PL51,4.0,0.0
2020-06-18,25,PL71,13.0,0.0
2020-06-18,25,PL72,3.0,0.0
2020-06-18,25,PL82,2.0,0.0
2020-06-18,25,PL9,2.0,0.0
2020-06-19,25,PL22,7.0,0.0
2020-06-19,25,PL41,1.0,0.0
2020-06-19,25,PL51,2.0,0.0
2020-06-19,25,PL71,3.0,0.0
2020-06-19,25,PL81,1.0,0.0
2020-06-19,25,PL82,3.0,0.0
2020-06-19,25,PL84,1.0,0.0
2020-06-20,25,PL21,2.0,0.0
2020-06-20,25,PL41,1.0,0.0
2020-06-20,25,PL51,1.0,0.0
2020-06-20,25,PL72,2.0,0.0
2020-06-20,25,PL82,2.0,0.0
2020-06-20,25,PL9,4.0,0.0
2020-06-21,25,PL21,1.0,0.0
2020-06-21,25,PL41,1.0,0.0
2020-06-21,25,PL71,7.0,0.0
2020-06-21,25,PL82,1.0,0.0
2020-06-22,26,PL22,3.0,0.0
2020-06-23,26,PL22,3.0,0.0
2020-06-23,26,PL51,1.0,0.0
2020-06-23,26,PL71,5.0,0.0
2020-06-23,26,PL72,2.0,0.0
2020-06-23,26,PL82,1.0,0.0
2020-06-23,26,PL9,4.0,0.0
2020-06-24,26,PL22,7.0,0.0
2020-06-24,26,PL41,1.0,0.0
2020-06-24,26,PL71,3.0,0.0
2020-06-24,26,PL72,2.0,0.0
2020-06-24,26,PL82,2.0,0.0
2020-06-24,26,PL9,6.0,0.0
2020-06-25,26,PL22,7.0,0.0
2020-06-25,26,PL41,1.0,0.0
2020-06-25,26,PL51,1.0,0.0
2020-06-25,26,PL71,7.0,0.0
2020-06-26,26,PL22,9.0,31113.0
2020-06-26,26,PL51,1.0,20098.0
2020-06-26,26,PL71,5.0,19217.0
2020-06-26,26,PL9,2.0,63522.0
2020-06-27,26,PL41,2.0,0.0
2020-06-27,26,PL52,1.0,0.0
2020-06-27,26,PL72,1.0,0.0
2020-06-27,26,PL9,2.0,0.0
2020-06-28,26,PL22,2.0,0.0
2020-06-28,26,PL41,1.0,0.0
2020-06-28,26,PL72,1.0,0.0
2020-06-29,27,PL22,5.0,0.0
2020-06-29,27,PL9,1.0,0.0
2020-06-30,27,PL22,5.0,13793.0
2020-06-30,27,PL41,1.0,8638.0
2020-06-30,27,PL42,2.0,5853.0
2020-06-30,27,PL51,4.0,7913.0
2020-06-30,27,PL71,2.0,9889.0
2020-06-30,27,PL72,1.0,22681.0
2020-06-30,27,PL81,1.0,6169.0
2020-06-30,27,PL9,3.0,28288.0
2020-07-01,27,PL22,3.0,0.0
2020-07-01,27,PL71,1.0,0.0
2020-07-01,27,PL72,1.0,0.0
