date,region,confirmed,tests,deaths,recovered
2020-02-29,ITC4,84.0,888.0,6.0,0.0
2020-02-29,ITC3,23.0,9.0,0.0,4.0
2020-02-29,ITC1,0.0,81.0,0.0,0.0
2020-02-29,ITH3,40.0,1245.0,0.0,0.0
2020-02-29,ITF1,1.0,10.0,0.0,0.0
2020-02-29,ITI3,5.0,21.0,0.0,0.0
2020-02-29,ITH10,0.0,14.0,0.0,0.0
2020-02-29,ITG2,0.0,0.0,0.0,0.0
2020-02-29,ITH5,72.0,273.0,2.0,0.0
2020-02-29,ITH20,0.0,11.0,0.0,0.0
2020-02-29,ITH4,0.0,20.0,0.0,0.0
2020-02-29,ITF6,0.0,6.0,0.0,0.0
2020-02-29,ITF5,0.0,32.0,0.0,0.0
2020-03-01,ITI4,0.0,45.0,0.0,0.0
2020-03-01,ITG1,5.0,285.0,0.0,0.0
2020-03-01,ITG2,0.0,28.0,0.0,0.0
2020-03-01,ITH20,0.0,79.0,0.0,0.0
2020-03-01,ITI3,14.0,33.0,0.0,0.0
2020-03-01,ITF4,0.0,10.0,0.0,0.0
2020-03-01,ITF2,0.0,6.0,0.0,0.0
2020-03-01,ITC3,-17.0,0.0,0.0,0.0
2020-03-01,ITH10,0.0,4.0,0.0,0.0
2020-03-01,ITC1,38.0,54.0,0.0,0.0
2020-03-01,ITC2,0.0,1.0,0.0,0.0
2020-03-01,ITH4,6.0,54.0,0.0,0.0
2020-03-01,ITH5,68.0,245.0,4.0,0.0
2020-03-01,ITF5,0.0,7.0,0.0,0.0
2020-03-01,ITF1,3.0,9.0,0.0,0.0
2020-03-01,ITF6,0.0,8.0,0.0,0.0
2020-03-01,ITC4,369.0,1156.0,1.0,33.0
2020-03-01,ITH3,72.0,397.0,0.0,0.0
2020-03-01,ITI1,2.0,41.0,0.0,0.0
2020-03-01,ITI2,2.0,4.0,0.0,0.0
2020-03-01,ITF3,4.0,0.0,0.0,0.0
2020-03-02,ITH10,0.0,0.0,0.0,0.0
2020-03-02,ITH3,10.0,726.0,0.0,0.0
2020-03-02,ITH4,3.0,26.0,0.0,0.0
2020-03-02,ITC1,2.0,72.0,0.0,0.0
2020-03-02,ITF6,0.0,4.0,0.0,0.0
2020-03-02,ITF2,0.0,7.0,0.0,0.0
2020-03-02,ITG1,-2.0,16.0,0.0,0.0
2020-03-02,ITI4,1.0,49.0,0.0,0.0
2020-03-02,ITH20,0.0,0.0,0.0,0.0
2020-03-02,ITH5,50.0,178.0,3.0,0.0
2020-03-02,ITF5,0.0,0.0,0.0,0.0
2020-03-02,ITC4,270.0,1046.0,14.0,66.0
2020-03-02,ITI2,0.0,0.0,0.0,0.0
2020-03-02,ITF1,0.0,0.0,0.0,0.0
2020-03-02,ITF3,0.0,0.0,0.0,0.0
2020-03-02,ITC2,0.0,1.0,0.0,0.0
2020-03-02,ITC3,-3.0,0.0,0.0,0.0
2020-03-02,ITI1,0.0,41.0,0.0,0.0
2020-03-02,ITI3,10.0,36.0,1.0,0.0
2020-03-02,ITF4,1.0,16.0,0.0,0.0
2020-03-02,ITG2,0.0,0.0,0.0,0.0
2020-03-03,ITG1,0.0,0.0,0.0,0.0
2020-03-03,ITF2,3.0,0.0,0.0,0.0
2020-03-03,ITI3,26.0,63.0,1.0,0.0
2020-03-03,ITC1,5.0,24.0,0.0,0.0
2020-03-03,ITH3,34.0,394.0,1.0,7.0
2020-03-03,ITI1,6.0,84.0,0.0,0.0
2020-03-03,ITI2,6.0,10.0,0.0,0.0
2020-03-03,ITG2,1.0,0.0,0.0,0.0
2020-03-03,ITH10,0.0,0.0,0.0,0.0
2020-03-03,ITC4,266.0,1652.0,17.0,0.0
2020-03-03,ITI4,7.0,104.0,0.0,0.0
2020-03-03,ITC3,2.0,0.0,1.0,0.0
2020-03-03,ITC2,0.0,1.0,0.0,0.0
2020-03-03,ITF1,1.0,0.0,0.0,0.0
2020-03-03,ITH4,4.0,85.0,0.0,0.0
2020-03-03,ITH5,85.0,39.0,7.0,4.0
2020-03-03,ITF4,2.0,20.0,0.0,0.0
2020-03-03,ITH20,4.0,0.0,0.0,0.0
2020-03-03,ITF5,1.0,3.0,0.0,0.0
2020-03-03,ITF6,0.0,0.0,0.0,0.0
2020-03-03,ITF3,13.0,32.0,0.0,0.0
2020-03-04,ITF3,1.0,24.0,0.0,0.0
