date,week,region,tests,confirmed,deaths,recovered
2020-03-18,12,CZ031,0.0,3.0,0.0,0.0
2020-03-18,12,CZ032,0.0,3.0,0.0,0.0
2020-03-18,12,CZ041,0.0,1.0,0.0,0.0
2020-03-18,12,CZ042,0.0,1.0,0.0,0.0
2020-03-18,12,CZ051,0.0,1.0,0.0,0.0
2020-03-18,12,CZ052,0.0,4.0,0.0,0.0
2020-03-18,12,CZ053,0.0,2.0,0.0,0.0
2020-03-18,12,CZ063,0.0,1.0,0.0,0.0
2020-03-18,12,CZ064,0.0,6.0,0.0,0.0
2020-03-18,12,CZ071,0.0,8.0,0.0,0.0
2020-03-18,12,CZ072,0.0,12.0,0.0,0.0
2020-03-18,12,CZ080,0.0,18.0,0.0,0.0
2020-03-19,12,CZ010,0.0,76.0,0.0,0.0
2020-03-19,12,CZ020,0.0,32.0,0.0,0.0
2020-03-19,12,CZ031,0.0,2.0,0.0,0.0
2020-03-19,12,CZ032,0.0,5.0,0.0,1.0
2020-03-19,12,CZ041,0.0,10.0,0.0,0.0
2020-03-19,12,CZ042,0.0,9.0,0.0,0.0
2020-03-19,12,CZ051,0.0,2.0,0.0,0.0
2020-03-19,12,CZ053,0.0,3.0,0.0,0.0
2020-03-19,12,CZ063,0.0,3.0,0.0,0.0
2020-03-19,12,CZ064,0.0,12.0,0.0,0.0
2020-03-19,12,CZ071,0.0,14.0,0.0,0.0
2020-03-19,12,CZ072,0.0,10.0,0.0,0.0
2020-03-19,12,CZ080,0.0,23.0,0.0,0.0
2020-03-20,12,CZ010,0.0,32.0,0.0,1.0
2020-03-20,12,CZ020,0.0,27.0,0.0,0.0
2020-03-20,12,CZ031,0.0,10.0,0.0,0.0
2020-03-20,12,CZ041,0.0,9.0,0.0,0.0
2020-03-20,12,CZ042,0.0,3.0,0.0,1.0
2020-03-20,12,CZ051,0.0,2.0,0.0,0.0
2020-03-20,12,CZ052,0.0,1.0,0.0,0.0
2020-03-20,12,CZ053,0.0,4.0,0.0,0.0
