Avlidendatum,Antal_Avlidna_Män,Antal_Avlidna_Kvinnor
2021-01-03,49,34
2021-01-04,45,41
2021-01-05,51,42
2021-01-06,49,33
2021-01-07,49,53
2021-01-08,42,57
2021-01-09,47,41
2021-01-10,49,42
2021-01-11,46,43
2021-01-12,47,41
2021-01-13,49,41
2021-01-14,53,42
2021-01-15,56,31
2021-01-16,45,37
2021-01-17,33,27
2021-01-18,37,36
2021-01-19,51,38
2021-01-20,39,48
2021-01-21,48,40
2021-01-22,32,28
2021-01-23,28,34
2021-01-24,29,23
2021-01-25,31,25
2021-01-26,31,34
2021-01-27,24,29
2021-01-28,32,19
2021-01-29,31,23
2021-01-30,24,31
2021-01-31,14,24
2021-02-01,27,16
2021-02-02,25,17
2021-02-03,27,15
2021-02-04,12,11
2021-02-05,9,6
2021-02-06,13,8
2021-02-07,10,10
2021-02-08,9,11
2021-02-09,5,4
2021-02-10,4,2
2021-02-11,,4
2021-02-12,1,3
