"","country","dates","I","R","D","T"
"1","CZ",2020-03-22,115,0,0,1801
"2","CZ",2020-03-23,126,0,0,2291
"3","CZ",2020-03-24,185,4,2,3062
"4","CZ",2020-03-25,292,0,3,4107
"5","CZ",2020-03-26,259,0,3,4633
"6","CZ",2020-03-27,377,1,0,5359
"7","CZ",2020-03-28,263,0,2,4224
"8","CZ",2020-03-29,159,0,5,2848
"9","CZ",2020-03-30,184,14,7,5159
"10","CZ",2020-03-31,304,20,8,6661
"11","CZ",2020-04-01,283,16,8,6102
"12","CZ",2020-04-02,268,6,5,6673
"13","CZ",2020-04-03,333,5,9,7398
"14","CZ",2020-04-04,283,6,6,5837
"15","CZ",2020-04-05,117,18,8,4812
"16","CZ",2020-04-06,236,25,11,6435
"17","CZ",2020-04-07,196,51,10,8173
"18","CZ",2020-04-08,294,61,11,8469
"19","CZ",2020-04-09,257,68,13,8180
"20","CZ",2020-04-10,163,45,7,5702
"21","CZ",2020-04-11,170,65,10,4891
"22","CZ",2020-04-12,89,53,9,3250
"23","CZ",2020-04-13,68,55,5,3215
"24","CZ",2020-04-14,82,123,18,6173
"25","CZ",2020-04-15,160,177,5,8476
"26","CZ",2020-04-16,132,153,3,8381
"27","CZ",2020-04-17,116,202,4,8288
"28","CZ",2020-04-18,105,53,8,5605
"29","CZ",2020-04-19,92,71,5,4027
"30","CZ",2020-04-20,154,261,8,6567
"31","CZ",2020-04-21,133,194,7,8341
"32","CZ",2020-04-22,99,236,7,8818
"33","CZ",2020-04-23,55,163,2,7901
"34","CZ",2020-04-24,86,219,4,7129
"35","CZ",2020-04-25,79,82,4,4446
"36","CZ",2020-04-26,52,92,2,3381
"37","CZ",2020-04-27,41,281,3,7754
"38","CZ",2020-04-28,60,122,4,8741
"39","CZ",2020-04-29,75,160,0,7322
"40","CZ",2020-04-30,104,206,9,7396
"41","CZ",2020-05-01,55,58,4,4497
"42","CZ",2020-05-02,18,89,5,3885
"43","CZ",2020-05-03,26,126,3,3881
"44","CZ",2020-05-04,38,220,4,7756
"45","CZ",2020-05-05,77,199,5,9383
"46","CZ",2020-05-06,79,199,5,8052
"47","CZ",2020-05-07,58,166,8,7599
"48","CZ",2020-05-08,46,42,3,4510
"49","CZ",2020-05-09,18,34,3,3788
"50","CZ",2020-05-10,28,27,4,4052
"51","CZ",2020-05-11,56,237,2,7809
"52","CZ",2020-05-12,45,178,1,8755
"53","CZ",2020-05-13,50,158,7,7687
"54","CZ",2020-05-14,82,194,3,6902
"55","CZ",2020-05-15,55,140,2,6790
"56","CZ",2020-05-16,51,41,1,4197
"57","CZ",2020-05-17,20,40,2,3553
"58","CZ",2020-05-18,113,179,0,7458
"59","CZ",2020-05-19,62,85,5,8336
"60","CZ",2020-05-20,74,104,2,7518
"61","CZ",2020-05-21,35,96,2,7290
"62","CZ",2020-05-22,59,99,6,7748
"63","CZ",2020-05-23,77,19,2,5059
"64","CZ",2020-05-24,65,34,1,3849
"65","CZ",2020-05-25,47,104,2,7508
"66","CZ",2020-05-26,51,88,0,7241
"67","CZ",2020-05-27,37,100,0,6846
"68","CZ",2020-05-28,54,90,2,6013
"69","CZ",2020-05-29,57,40,0,6113
"70","CZ",2020-05-30,34,46,0,3548
"71","CZ",2020-05-31,38,12,1,2141
"72","CZ",2020-06-01,34,84,1,5721
"73","CZ",2020-06-02,63,44,2,6478
"74","CZ",2020-06-03,74,63,2,5313
"75","CZ",2020-06-04,61,60,1,5011
"76","CZ",2020-06-05,35,72,1,4173
"77","CZ",2020-06-06,38,4,0,2150
"78","CZ",2020-06-07,61,6,0,2127
"79","CZ",2020-06-08,69,103,1,4684
"80","CZ",2020-06-09,55,59,0,4552
"81","CZ",2020-06-10,73,58,2,4068
