"","country","dates","I","R","D","T"
"1","CZ",2020-04-11,170,65,10,4891
"2","CZ",2020-04-12,89,53,9,3250
"3","CZ",2020-04-13,68,55,5,3215
"4","CZ",2020-04-14,82,123,18,6173
"5","CZ",2020-04-15,160,177,5,8476
"6","CZ",2020-04-16,132,153,3,8381
"7","CZ",2020-04-17,116,202,4,8288
"8","CZ",2020-04-18,105,53,8,5605
"9","CZ",2020-04-19,92,71,5,4027
"10","CZ",2020-04-20,154,261,8,6567
"11","CZ",2020-04-21,133,194,7,8341
"12","CZ",2020-04-22,99,236,7,8818
"13","CZ",2020-04-23,55,163,2,7901
"14","CZ",2020-04-24,86,219,4,7129
"15","CZ",2020-04-25,79,82,4,4446
"16","CZ",2020-04-26,52,92,2,3381
"17","CZ",2020-04-27,41,281,3,7754
"18","CZ",2020-04-28,60,122,4,8741
"19","CZ",2020-04-29,75,160,0,7322
"20","CZ",2020-04-30,104,206,9,7396
"21","CZ",2020-05-01,55,58,4,4497
"22","CZ",2020-05-02,18,89,5,3885
"23","CZ",2020-05-03,26,126,3,3881
"24","CZ",2020-05-04,38,220,4,7756
"25","CZ",2020-05-05,77,199,5,9383
