"","V1","V2","V3","V4","V5"
"1",4.38891696537743e-06,1.77597697892657e-05,2.65440326862149e-05,8.98882819676535e-05,0.000517662253352261
"2",1.03916845735401e-05,9.61522389929138e-06,2.28558138337577e-05,0.000191466045706545,0.000131590763184163
"3",6.51491373320697e-06,4.57578274035354e-06,2.9205723627613e-05,3.67304206349709e-05,0.000153949014660072
"4",9.82487201780866e-06,5.8846382073428e-06,1.51608615541198e-05,3.18766169528296e-05,0.000314167526327843
"5",6.7549009043989e-06,5.86704516539322e-06,1.72471399673861e-05,4.76645478863891e-05,0.000576091927036007
"6",3.63477083666061e-06,5.26664915117765e-06,1.69896037193232e-05,3.11190733129648e-05,0.000695796683912644
"7",6.60197753528097e-06,4.61464829928088e-06,5.45932742590906e-05,7.6643012851498e-05,0.00140321617559272
"8",1.3189971639394e-05,2.78371753653971e-05,3.08894969169461e-05,0.000163828275426562,0.000378793521761474
"9",2.23353544377097e-06,1.96109864849215e-05,3.05456992947853e-05,0.000127866698153833,0.000561638470771201
"10",5.72652794479997e-06,1.36634899491838e-06,2.17340685791864e-05,0.000161749404041839,0.000590518087537626
"11",7.3631571476957e-06,1.19377482618249e-05,6.4021400243568e-05,7.09141509971958e-05,0.000458896138955017
"12",4.72676174789923e-06,1.02967391439229e-05,2.90394724244929e-05,7.33623403805144e-05,0.000306409862515364
"13",7.43265438091637e-06,2.52521040378942e-06,2.24992351318475e-05,0.000116573583993294,0.00081786789094073
"14",5.37726408692023e-06,6.8824312295162e-06,2.05824228596045e-05,4.17118622606398e-05,0.000725121448699488
"15",1.09690433150823e-05,6.25824317658298e-06,4.67497101235108e-05,0.000223969034863166,7.696194583497e-05
"16",2.26651444627358e-06,9.2143576319712e-06,1.52662944132151e-05,1.37588057643501e-05,0.000333098208358039
"17",3.29335147300873e-06,1.55779677252986e-05,2.92213732399047e-05,0.000108363950823832,0.000641318951531043
"18",1.00134124004952e-05,1.29592373137436e-05,2.87476425550255e-05,0.000149759841035078,0.000626090709903727
"19",1.14764051988303e-05,1.32138698220342e-05,3.28578439229139e-05,0.000176706589293865,0.00034071629168675
"20",9.93073137256414e-06,3.30329353328868e-06,9.86166212338119e-06,2.28872490544914e-05,0.00016383232473039
"21",1.18590039144727e-05,1.47817079783131e-05,9.65847973741787e-06,9.59865959125319e-05,0.000548796218212458
"22",3.59353717556447e-06,5.17973373984845e-06,4.85521781873603e-05,9.15811225533414e-05,0.000750628241697202
"23",3.07408294277539e-06,1.93494112703141e-05,1.2875997569009e-05,7.61560902696423e-05,0.00102237871181675
"24",5.2405455454448e-06,5.05627751618931e-06,3.28337272917838e-05,0.000191427389234075,0.000389247321149614
"25",8.41707545031263e-06,2.01075019026061e-05,1.75449032702289e-05,8.84575078224163e-05,0.000746860931852827
"26",2.57376044626606e-06,1.03428251020445e-05,7.94961694493657e-05,9.025723542348e-05,0.000735617527323052
"27",4.91686278644179e-06,1.38849740679829e-05,3.87584410690052e-05,0.000293601269576285,0.000430175850500038
"28",9.26921553346495e-06,1.27613876244085e-05,9.97839096362706e-05,0.00023365421604436,0.00117366543769348
"29",5.07824890189523e-06,1.54419673788949e-05,1.36725313679221e-05,2.11506373846678e-05,0.000184422517150097
"30",4.32067746910783e-06,9.31923620958334e-06,1.12366934105402e-05,0.00013371517100609,0.000699113984071256
"31",2.07413319484832e-06,1.2362889281081e-05,2.32197262499729e-05,0.000103986680962853,0.000771193989356094
"32",4.14327260423718e-06,2.7524831357087e-05,1.71265854772273e-05,6.16238761318584e-05,0.000569021099734843
"33",5.25089087494505e-06,2.08487370066666e-05,3.28849656577901e-05,6.2666842596512e-05,0.00034989274758972
"34",5.10652817392873e-06,4.58235621760485e-06,3.25232922883337e-05,6.32294122141512e-05,0.000462198960983391
"35",6.54063206709219e-06,1.29941990388681e-05,2.44707069158549e-05,9.09498441704621e-05,0.000915364847591689
"36",7.75516168942795e-06,4.08118538661652e-06,1.13234887317662e-05,3.68098405109716e-05,9.45486597165919e-05
"37",2.81049210179516e-06,5.39283889266734e-06,9.40657647978348e-06,4.84675314150521e-05,0.00035639960531018
"38",7.44848552113295e-06,5.19679390712317e-06,4.03120938014185e-05,0.000226187498885349,0.000803136123448777
"39",7.5349445416527e-06,2.28772368757422e-05,6.81389675209286e-06,6.5139274271224e-05,0.000545560432566755
"40",3.6182881443729e-06,1.70764312037684e-05,1.24741816704702e-05,0.000174504354508717,0.000156300953853842
"41",1.07780070496453e-05,2.14100336156126e-06,4.05331892812124e-05,0.000202681140921138,0.000546076617624902
"42",8.9145132732773e-06,1.66755974154264e-05,5.13022456706511e-05,5.0255091901248e-05,0.000408133422310646
"43",5.12972584198067e-06,2.23515587427461e-06,1.67463799553023e-05,0.000245794061215822,0.000310755735613544
