"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.405290371064443,0.501257736417362,0.878959889124591,0.659394434364958,0.548361444940258,0.1646258290193,0.209274607860458,0.345759234137123,0.684901383621603,0.85338426638241,0.462616056406527
"2",0.405289307114702,0.501258689646643,0.878960609660365,0.65939559359225,0.54836174738519,0.16462556739354,0.209274462282652,0.345759749860288,0.684902925895153,0.853385119434683,0.462615813819463
"3",0.405287461651152,0.501257967127009,0.878960191186452,0.659394895835907,0.548361533930398,0.164625920547702,0.209274276729648,0.345760197101747,0.684903217852486,0.85338462087259,0.462613449425147
"4",0.405288037522569,0.501259060023754,0.878959837292959,0.659394345290588,0.548359094450813,0.164625782157159,0.209276653868423,0.345759985566685,0.684900969840904,0.853384899981644,0.462618007113563
"5",0.405285597414226,0.501259832827383,0.878959557236881,0.659390849310121,0.548360114155412,0.164626655128967,0.209277394251404,0.345760063682286,0.684902039555507,0.853384921144642,0.462619097195699
"6",0.405289986722004,0.501258203656613,0.878959970689898,0.659395040663655,0.548362565241459,0.16462565029446,0.209274440892266,0.345760488804569,0.684902779684886,0.853384958255784,0.462615627615041
"7",0.405287063954386,0.501259327186116,0.87895928837007,0.659393043796793,0.54835944024747,0.164626383476619,0.209277071881491,0.345761211254369,0.684901164804715,0.853385405847235,0.462619456834515
"8",0.405286906511686,0.501259160764968,0.878959433940471,0.65939348145091,0.548359066923702,0.164626364291919,0.209277207752467,0.345760091416692,0.684900530441712,0.853385457022056,0.462618645384858
"9",0.405286219642404,0.501258993185554,0.878959500563643,0.659391444497286,0.548359722741226,0.164626189961236,0.2092770790303,0.345761288400231,0.684900717014986,0.853384682845972,0.46261918373884
"10",0.405290476933047,0.50125815561386,0.87895981726186,0.659394189595096,0.548361642259061,0.164625881338469,0.209274133025249,0.345759853001339,0.684901140591862,0.853384114032807,0.462615761720966
"11",0.40528727171172,0.501259649723298,0.878959463459531,0.659393293150362,0.548359477976244,0.164626382239506,0.209277046302875,0.345760425431211,0.684899787888896,0.85338574581443,0.462618542042452
"12",0.405287146231811,0.50125927459728,0.878959020821826,0.659391897049711,0.548359072858161,0.164626416637099,0.209276893252308,0.345761102882738,0.684900918826438,0.853384938679017,0.462618772585343
"13",0.405288101350661,0.501259933251967,0.878959487474772,0.659392544263681,0.548358366242436,0.164626436480865,0.209277246576753,0.345759981030444,0.684899323927852,0.853385976245,0.462618136578075
"14",0.405288302419695,0.501259753851713,0.878959483638345,0.659392769450143,0.548358408565776,0.164626239825778,0.20927747379242,0.345760136481098,0.684899434507944,0.853386071072718,0.462618052370532
"15",0.405287563474638,0.501257924156618,0.878959852341158,0.659393858784711,0.548358891805481,0.164625739125922,0.20927655088244,0.345759838406821,0.684900910146647,0.853384671590035,0.462616788099487
"16",0.405286925418872,0.501259552967024,0.878960223286374,0.659394967567418,0.548362796725981,0.164625477963771,0.209275049470343,0.345761666283174,0.684901642411101,0.853384505676196,0.462613400052285
"17",0.405287478608517,0.501258229745819,0.878959960838612,0.659393530987829,0.548358710567577,0.164625844304259,0.209276498114469,0.345759471403806,0.684900895378266,0.853384785917893,0.462616921891927
"18",0.405286894808199,0.501260116253169,0.878960105796882,0.659395244928287,0.548362888926034,0.164625318183936,0.209275037764033,0.345761662463804,0.684901777165702,0.853384522041411,0.462613615236061
"19",0.40529016091278,0.501258042108247,0.878959781987656,0.65939404696482,0.548361608929466,0.164625891442303,0.209274223227121,0.345759939129798,0.684901081195997,0.853384120538326,0.462615928450656
"20",0.405286574625756,0.501258379730488,0.878960022819334,0.659394306234496,0.548362808263605,0.164625489611522,0.209274950253092,0.345761573451236,0.684902726405573,0.853384211651064,0.462612982964948
"21",0.405288325156079,0.501260256154492,0.878959367637172,0.659393346433764,0.548358837141063,0.164626219020773,0.209277048333901,0.345760331659256,0.684900334653384,0.853385433335633,0.462618407921303
"22",0.405289983192966,0.501258526054966,0.87895941407956,0.659393988610967,0.548361828262444,0.164625871387564,0.209274423752919,0.345759246371658,0.684901505004636,0.853384536355354,0.462616548607404
"23",0.405287325924406,0.50125767054017,0.878960058239508,0.659395089522964,0.548361603290758,0.164625903854784,0.20927410563705,0.34576016609226,0.684903156258207,0.853384958193195,0.462613484158364
"24",0.405287831520234,0.501258037341726,0.878960249537981,0.659395654452697,0.548362246898713,0.164625602121207,0.209273847448872,0.345761890643147,0.684902184769657,0.853385162535712,0.46261722216114
"25",0.405286003076892,0.501259016746671,0.878960006009458,0.659395322418119,0.548363083267261,0.164625294041566,0.20927527720149,0.345761683816454,0.684902181643441,0.853384712641063,0.462613476630974
