"","country","dates","I","R","D","T"
"1","CZ",2020-03-25,292,0,3,4107
"2","CZ",2020-03-26,259,0,3,4633
"3","CZ",2020-03-27,377,1,0,5359
"4","CZ",2020-03-28,263,0,2,4224
"5","CZ",2020-03-29,159,0,5,2848
"6","CZ",2020-03-30,184,14,7,5159
"7","CZ",2020-03-31,304,20,8,6661
"8","CZ",2020-04-01,283,16,8,6102
"9","CZ",2020-04-02,268,6,5,6673
"10","CZ",2020-04-03,333,5,9,7398
"11","CZ",2020-04-04,283,6,6,5837
"12","CZ",2020-04-05,117,18,8,4812
"13","CZ",2020-04-06,236,25,11,6435
"14","CZ",2020-04-07,196,51,10,8173
"15","CZ",2020-04-08,294,61,11,8469
"16","CZ",2020-04-09,257,68,13,8180
"17","CZ",2020-04-10,163,45,7,5702
"18","CZ",2020-04-11,170,65,10,4891
"19","CZ",2020-04-12,89,53,9,3250
"20","CZ",2020-04-13,68,55,5,3215
"21","CZ",2020-04-14,82,123,18,6173
"22","CZ",2020-04-15,160,177,5,8476
"23","CZ",2020-04-16,132,153,3,8381
"24","CZ",2020-04-17,116,202,4,8288
"25","CZ",2020-04-18,105,53,8,5605
"26","CZ",2020-04-19,92,71,5,4027
"27","CZ",2020-04-20,154,261,8,6567
"28","CZ",2020-04-21,133,194,7,8341
