"","country","dates","I","R","D","T"
"1","CZ",2020-10-22,14155,4089,106,46425
"2","CZ",2020-10-23,15248,4426,126,45252
"3","CZ",2020-10-24,12473,3251,106,39192
"4","CZ",2020-10-25,7300,2479,124,21593
"5","CZ",2020-10-26,10272,5839,164,35597
"6","CZ",2020-10-27,15666,8223,182,47498
"7","CZ",2020-10-28,12977,7930,128,40123
"8","CZ",2020-10-29,13051,9255,187,42577
"9","CZ",2020-10-30,13603,8947,216,46822
"10","CZ",2020-10-31,11427,5784,173,36296
"11","CZ",2020-11-01,6551,14059,178,20643
"12","CZ",2020-11-02,9239,13190,225,32728
"13","CZ",2020-11-03,12090,14572,259,43327
"14","CZ",2020-11-04,15725,14583,220,45484
"15","CZ",2020-11-05,13234,14509,197,43233
"16","CZ",2020-11-06,11546,610,154,40325
"17","CZ",2020-11-07,7721,22875,197,26243
"18","CZ",2020-11-08,3609,5372,177,13727
"19","CZ",2020-11-09,6048,876,170,30467
"20","CZ",2020-11-10,9056,33468,295,37274
"21","CZ",2020-11-11,8921,7768,247,32938
"22","CZ",2020-11-12,7874,15478,185,31174
"23","CZ",2020-11-13,7358,15633,171,31297
"24","CZ",2020-11-14,4196,6031,132,16193
"25","CZ",2020-11-15,1891,4923,150,9020
"26","CZ",2020-11-16,5414,13943,208,26067
"27","CZ",2020-11-17,4246,12545,142,17590
"28","CZ",2020-11-18,5514,13780,182,24531
"29","CZ",2020-11-19,6470,11806,134,26704
"30","CZ",2020-11-20,5808,10493,147,25854
"31","CZ",2020-11-21,3191,4957,74,14584
"32","CZ",2020-11-22,1509,3271,101,7230
"33","CZ",2020-11-23,4379,7881,164,23660
"34","CZ",2020-11-24,5861,10850,139,24631
"35","CZ",2020-11-25,4929,825,112,22650
"36","CZ",2020-11-26,4049,14217,168,20554
"37","CZ",2020-11-27,4462,0,188,23395
"38","CZ",2020-11-28,2667,17301,87,12322
"39","CZ",2020-11-29,1074,2079,84,6450
"40","CZ",2020-11-30,3572,7201,157,22266
"41","CZ",2020-12-01,5180,3570,112,23184
"42","CZ",2020-12-02,4561,6422,108,22670
"43","CZ",2020-12-03,4624,6703,126,20726
"44","CZ",2020-12-04,4747,5692,97,22777
"45","CZ",2020-12-05,3312,2675,77,12984
"46","CZ",2020-12-06,1112,1425,87,6695
"47","CZ",2020-12-07,4251,0,0,22913
"48","CZ",2020-12-08,5855,6687,134,26195
"49","CZ",2020-12-09,6414,4978,100,25268
"50","CZ",2020-12-10,5872,4187,90,25571
