"","country","dates","I","R","D","T"
"1","CZ",2020-11-24,5861,10850,139,24631
"2","CZ",2020-11-25,4929,825,112,22650
"3","CZ",2020-11-26,4049,14217,168,20554
"4","CZ",2020-11-27,4462,0,188,23395
"5","CZ",2020-11-28,2667,17301,87,12322
"6","CZ",2020-11-29,1074,2079,84,6450
"7","CZ",2020-11-30,3572,7201,157,22266
"8","CZ",2020-12-01,5180,3570,112,23184
"9","CZ",2020-12-02,4561,6422,108,22670
"10","CZ",2020-12-03,4624,6703,126,20726
"11","CZ",2020-12-04,4747,5692,97,22777
"12","CZ",2020-12-05,3312,2675,77,12984
"13","CZ",2020-12-06,1112,1425,87,6695
"14","CZ",2020-12-07,4251,0,0,22913
"15","CZ",2020-12-08,5855,6687,134,26195
"16","CZ",2020-12-09,6414,4978,100,25268
"17","CZ",2020-12-10,5872,4187,90,25571
"18","CZ",2020-12-11,6209,3882,115,28465
"19","CZ",2020-12-12,3655,5189,109,16087
"20","CZ",2020-12-13,1998,1649,85,8976
"21","CZ",2020-12-14,5176,1256,74,26378
"22","CZ",2020-12-15,7908,5876,134,32175
"23","CZ",2020-12-16,8257,6625,139,32492
"24","CZ",2020-12-17,7614,4226,154,31303
"25","CZ",2020-12-18,8836,4413,127,34018
"26","CZ",2020-12-19,5326,4560,108,21345
"27","CZ",2020-12-20,3403,1685,60,11598
"28","CZ",2020-12-21,7950,1379,80,29532
"29","CZ",2020-12-22,10911,6326,151,36288
"30","CZ",2020-12-23,14138,5914,102,41867
"31","CZ",2020-12-24,4373,5518,112,10713
"32","CZ",2020-12-25,2671,5252,83,7819
"33","CZ",2020-12-26,3031,5758,91,8715
"34","CZ",2020-12-27,3781,2387,94,10483
"35","CZ",2020-12-28,10935,207,108,28201
"36","CZ",2020-12-29,16473,10451,150,36075
"37","CZ",2020-12-30,17059,7984,127,35441
"38","CZ",2020-12-31,13307,8098,151,27906
"39","CZ",2021-01-01,3446,7492,131,6584
"40","CZ",2021-01-02,4985,8055,116,13449
"41","CZ",2021-01-03,6267,4086,133,15322
"42","CZ",2021-01-04,12953,2869,110,35177
"43","CZ",2021-01-05,17398,10807,187,43808
"44","CZ",2021-01-06,17769,12293,179,39003
"45","CZ",2021-01-07,14882,11211,185,38972
