"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121"
"1",6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,6.07663595027782,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,4.77658780597129,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,2.89270339278638,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.46022969130143,1.17172477770275,1.17172477770275
"2",6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,6.07664670705498,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,4.77659477002522,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,2.89269598247164,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.46023033499354,1.17172554812558,1.17172554812558
"3",6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,6.07666057001533,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,4.77662481842994,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,2.89269834969022,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.46022991315007,1.17172463287641,1.17172463287641
"4",6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,6.07663003329152,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,4.77664563286698,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,2.89269724363082,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.46022885371334,1.17172488552455,1.17172488552455
"5",6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,6.07663699917468,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,4.77658484000115,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,2.89270225513304,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.46022992694632,1.17172458513542,1.17172458513542
"6",6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,6.07663808350059,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,4.7766442886255,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,2.89269651120451,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.46022781636871,1.17172465498922,1.17172465498922
"7",6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,6.07663628668676,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,4.77658684476438,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,2.89270297417711,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.46023059213978,1.17172440450471,1.17172440450471
"8",6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,6.07663837744274,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,4.77664621304689,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,2.89269733120697,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.46022716669238,1.17172435428426,1.17172435428426
"9",6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,6.07664484918254,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,4.77659135071643,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,2.89270369832351,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.46022967993667,1.17172474966507,1.17172474966507
"10",6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,6.07663574225036,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,4.77663461302567,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,2.89269800802113,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.4602287265402,1.17172506034356,1.17172506034356
