date,region,param_a,param_c,param_b,param_d,latent_S,latent_E,latent_I,latent_R,latent_D,observed_I,observed_R,observed_D,data_I,data_R,data_D
2020-07-06,SE212,0.16240573097437896,0.2,0.04103921006140672,0.04133380973470422,0.9701337080359665,5.492612917979065,7.962711647586553,5.348636375378535,0.23061157316796888,8.800220782024763,6.465889340347349,1.2424818281713657,10.0,,2.0
2020-07-13,SE212,0.16240573097437896,0.2,0.04103921006140672,0.04133380973470422,0.9509765505033251,8.837867854781464,13.825329694351131,20.777895114857177,0.895858821439674,14.461799839049457,21.83632701197471,1.9078945493163397,19.0,,1.0
2020-07-20,SE212,0.16240573097437896,0.2,0.04103921006140672,0.04133380973470422,0.9251982729273563,14.313068798939515,22.86304022488812,51.132644908854246,2.2046328924043332,23.41490025490924,51.99418367192799,3.1671795439463915,27.0,,0.0
2020-07-27,SE212,0.16240573097437896,0.2,0.04103921006140672,0.04133380973470422,0.8915309969973155,13.64331900752779,22.282468391055133,97.68467160067998,4.2117680491288665,22.675808368886162,98.20795038622184,5.141644647581876,19.0,,1.0
2020-08-03,SE212,0.188157134269305,0.2,0.02758504030754163,0.029631846217826493,0.8414389230537495,23.29454972712727,38.27645047317493,160.22520930770014,6.508926653004,38.58496332718292,161.16111943952436,7.4735399173855965,28.0,,2.0
2020-08-10,SE212,0.188157134269305,0.2,0.02758504030754163,0.029631846217826493,0.7667389229591206,39.089282295550234,67.51077713635283,261.15360427316625,9.845651244397812,67.87718023892896,261.79499363954494,10.818293529865999,62.0,,1.0
2020-08-17,SE212,0.188157134269305,0.2,0.02758504030754163,0.029631846217826493,0.6668421970659165,62.91747458292954,117.96648779789697,435.7652139969912,15.482116772725906,117.62328159015331,436.38368365306235,16.213145588441094,90.0,,1.0
2020-08-24,SE212,0.188157134269305,0.2,0.02758504030754163,0.029631846217826493,0.547828252530901,78.62742887614839,166.02150554867677,712.0284979585557,24.233806239368338,165.35634913411803,712.2260406292799,25.128683942895783,46.0,,2.0
2020-08-31,SE212,0.06914896093587702,0.2,0.034663594138732975,0.0005163341424160528,0.4775788720792623,83.78433581763805,339.97855173294016,1270.9761579304704,32.12031947574268,339.224759094677,1270.5865128559553,33.301652637116796,43.0,,0.0
2020-09-07,SE212,0.06914896093587702,0.2,0.034663594138732975,0.0005163341424160528,0.429217117732602,104.26126019791897,597.9866242318075,2277.30405590352,41.81497395955157,597.5981239930718,2277.5531591583826,43.058170955281845,38.0,,0.0
2020-09-14,SE212,0.06914896093587702,0.2,0.034663594138732975,0.0005163341424160528,0.38564766491651875,82.8954261603301,553.2669967786609,3536.610853562166,51.137636486096625,551.9307055588414,3532.5634899618776,51.828825642407494,60.0,,2.0
2020-09-21,SE212,0.06914896093587702,0.2,0.034663594138732975,0.0005163341424160528,0.3477938833308012,81.02454237829048,600.2532271839565,5139.945275736668,61.83146410106721,598.0383590774189,5134.614580990587,62.92648935415859,88.0,,1.0
2020-09-28,SE212,0.09195034645401344,0.2,0.011584689657146801,0.011031848818095543,0.30734090151458304,60.33693199734839,433.5031218892129,6261.067279630263,71.92850658964554,431.71532625758675,6256.409829135978,73.22023799478612,112.0,,1.0
2020-10-05,SE212,0.09195034645401344,0.2,0.011584689657146801,0.011031848818095543,0.26795217712646047,58.802456623561746,451.86873481143243,7303.278939603764,83.77940687371309,450.6140559148532,7301.740275964725,85.15566690701928,76.0,,0.0
2020-10-12,SE212,0.09195034645401344,0.2,0.011584689657146801,0.011031848818095543,0.23285460143133588,56.45471255318209,484.5422435445912,8469.01728658079,97.02105411956555,481.6177527525327,8463.946221146574,98.61723089097397,69.0,,1.0
2020-10-19,SE212,0.09195034645401344,0.2,0.011584689657146801,0.011031848818095543,0.2022165389610984,57.264757210803545,555.202502964691,9839.594555670235,112.58363762931211,553.9952221535112,9838.944300810694,113.58614960433688,121.0,,2.0
2020-10-26,SE212,0.2486191447407748,0.2,0.020640121902078385,0.021102118569321385,0.14972872170898135,109.65907855675425,633.3246822999316,11769.55184577779,140.9003447915201,631.5219626582207,11766.444743706626,141.9490088662696,312.0,,6.0
2020-11-02,SE212,0.2486191447407748,0.2,0.020640121902078385,0.021102118569321385,0.10581017944947826,96.8115442106163,600.0574985657705,13925.283104568587,175.47220251465632,598.3957575847754,13926.41150717214,177.05040246285455,466.0,,9.0
2020-11-09,SE212,0.2486191447407748,0.2,0.020640121902078385,0.021102118569321385,0.07650103940821516,102.64466506657394,800.1984129207339,16835.845844324307,220.86278103670134,800.3280296102945,16834.37466825484,221.7756530275591,706.0,,7.0
2020-11-16,SE212,0.2486191447407748,0.2,0.020640121902078385,0.021102118569321385,0.0572373226823757,87.75084574599607,879.7667813129976,20423.28208481368,276.3959733834849,879.1805775135674,20418.129068746144,277.5937870770569,725.0,,6.0
2020-11-23,SE212,0.2474877627368198,0.2,0.013308703790103026,0.013003629471170255,0.04434851176917232,47.57047647051454,641.3053857466467,23336.74312971193,317.9843345775747,639.3282452504404,23331.819373563125,319.97581620208234,555.0,,7.0
2020-11-30,SE212,0.2474877627368198,0.2,0.013308703790103026,0.013003629471170255,0.03508173227096734,29.9616835307871,522.388218707335,25981.307422786947,353.73184637059757,522.7752327050085,25975.423219072512,354.7067175990591,623.0,,8.0
2020-12-07,SE212,0.2474877627368198,0.2,0.013308703790103026,0.013003629471170255,0.02839598453111237,20.318705694922105,442.3482678303263,28548.888612539657,388.41753362805645,442.3104898385564,28543.576084011107,389.84166143539284,541.0,,2.0
2020-12-14,SE212,0.2474877627368198,0.2,0.013308703790103026,0.013003629471170255,0.02353778934807858,15.423148396110717,409.19176892401066,31228.326158502157,424.61913818064187,408.8097107647506,31224.792223664153,426.0687608684204,711.0,,11.0
2020-12-21,SE212,0.24882862261914032,0.2,1.4403084649650122e-05,0.0021135918956352072,0.01981183829891364,13.216634715283364,453.36496704025615,33796.006410396665,459.45704163867055,454.40196551110137,33787.22823751944,459.89031156098406,938.0,,13.0
2020-12-28,SE212,0.24882862261914032,0.2,1.4403084649650122e-05,0.0021135918956352072,0.016614685138702245,7.804014141333747,330.73054323795486,35518.910598106726,482.8721452713512,329.99536037583584,35520.051717387796,483.7767541491513,748.0,,21.0
2021-01-04,SE212,0.24882862261914032,0.2,1.4403084649650122e-05,0.0021135918956352072,0.013888256665486667,7.8921658676861535,402.14431405067893,37582.09952298488,510.91236556718684,402.7595789814216,37588.81897573021,511.55328149818376,988.0,,15.0
2021-01-11,SE212,0.24882862261914032,0.2,1.4403084649650122e-05,0.0021135918956352072,0.01158274832951691,6.345909734699214,386.7096316878637,39545.972810201296,537.6014203480898,386.6120724281251,39545.70883047746,538.8169780411149,1037.0,,18.0
2021-01-18,SE212,0.2499592330813106,0.2,0.022226338234780322,0.01826913757108729,0.009754335997404003,5.087118444894242,324.2367433632552,42341.64672493696,579.6952488829079,324.8171395486738,42326.96575961353,582.6685479445971,684.0,,23.0
2021-01-25,SE212,0.2499592330813106,0.2,0.022226338234780322,0.01826913757108729,0.008530877702939355,3.547669297416633,245.94263268966617,45288.84961793506,624.7512158103829,246.22349506360888,45284.64373330496,625.9829507420326,629.0,,13.0
2021-02-01,SE212,0.2499592330813106,0.2,0.022226338234780322,0.01826913757108729,0.007695920959244686,2.4343378670609566,187.0755726505595,48071.435592077716,666.8344459470483,187.33602926237316,48064.34789757369,668.573348821708,604.0,,7.0
2021-02-08,SE212,0.2499592330813106,0.2,0.022226338234780322,0.01826913757108729,0.007111267664313275,1.8437992172973143,155.42805974234963,50907.207943787216,709.0916892500829,155.7866593703998,50898.71886733203,710.1305241105239,465.0,,5.0
2021-02-15,SE212,0.16946412290786142,0.2,0.01057894028788771,0.011080159132112433,0.006775002055929207,1.124624620361932,131.76523207644271,53499.85042806026,745.4655005917552,132.55885086080116,53495.73040180903,747.2574896829308,509.0,,2.0
2021-02-22,SE212,0.16946412290786142,0.2,0.01057894028788771,0.011080159132112433,0.0065314020277949655,0.6692311876528183,97.07695895445036,55654.42346934233,774.8903716851792,97.69873377192904,55652.883792152716,775.2019872712629,457.0,,7.0
2021-03-01,SE212,0.16946412290786142,0.2,0.01057894028788771,0.011080159132112433,0.006327123745934802,0.5555729906403843,88.40012916251594,57891.90980571724,805.5086039499149,89.1405342127567,57883.90035717211,806.0449387348965,344.0,,2.0
2021-03-08,SE212,0.16946412290786142,0.2,0.01057894028788771,0.011080159132112433,0.006155202393119658,0.4746574856099652,79.25328217425117,60186.85379678745,836.9614601293283,80.49396089976032,60184.13665418261,838.8641511926627,311.0,,3.0
2021-03-15,SE212,0.24928200524580038,0.2,0.001322891017926602,0.0012134826500856954,0.005955779564882432,0.5599488976680894,80.57504531163313,62513.2927820609,868.9970835908246,81.30707660373068,62509.47159263587,870.248576148979,226.0,,1.0
