"","draw","date","s","e","i","r","d"
"3965",80,2020-11-05,10597226.8835057,1.13829146642531,2.82008024102038,10658329.0080861,10629822.191637
"3966",80,2020-11-06,10597226.2720235,2.20295841201395,7.63441152962413,10658333.2876581,10629822.2732115
"3967",80,2020-11-07,10597228.089891,1.68490253670726,7.40075371470179,10658320.5649976,10629822.0307002
"3968",80,2020-11-08,10597228.0824198,1.752611760439,7.42265422521381,10658320.617281,10629822.0316968
"3969",80,2020-11-09,10597227.3941481,0.384014103929155,1.83352330481934,10658325.4342676,10629822.1235151
"3970",80,2020-11-10,10597227.3870232,0.418866994764566,2.07090556655834,10658325.2419123,10629822.1204659
"3971",80,2020-11-11,10597225.6115467,2.3096074900237,0.784425296719532,10658327.0821881,10629822.1825231
"3972",80,2020-11-12,10597226.2101106,0.0381156469316566,1.61043607417289,10658326.4574781,10629822.1615308
"3973",80,2020-11-13,10597225.6183746,0.16701230710459,1.81484053352892,10658326.9549372,10629822.1803
"3974",80,2020-11-14,10597223.8614242,1.87265802187825,0.116070736342328,10658328.3171544,10629822.2341326
"3975",80,2020-11-15,10597224.5716555,0.934098136380829,2.78501986914303,10658327.7664914,10629822.2123713
"3976",80,2020-11-16,10597218.7430138,8.70047892264015,5.71864196070326,10658332.2856288,10629822.3909604
"3977",80,2020-11-17,10597222.2945866,0.193632609812379,2.09909983504997,10658329.5319804,10629822.2821406
"3978",80,2020-11-18,10597224.7574416,6.35884727486232,8.17372978923982,10658327.6224373,10629822.2066785
"3979",80,2020-11-19,10597219.9208375,0.959983079282964,1.79334200256619,10658331.3724062,10629822.3548713
"3980",80,2020-11-20,10597219.3816995,0.0507437805356443,2.87781104709027,10658331.7187119,10629822.3724738
"3981",80,2020-11-21,10597216.9869107,3.14224690069273,0.774391169682292,10658333.0440155,10629822.4538758
"3982",80,2020-11-22,10597217.3886831,1.74679112857064,5.49905303088366,10658332.8202544,10629822.4402407
"3983",80,2020-11-23,10597212.7905483,6.02899027676285,0.293964672781638,10658335.2780167,10629822.5978495
"3984",80,2020-11-24,10597213.2249579,0.460854713039371,6.00853819376073,10658335.0458396,10629822.582959
"3985",80,2020-11-25,10597210.0078414,1.84717955104606,5.08791101457928,10658336.7652746,10629822.6932334
"3986",80,2020-11-26,10597205.6473761,6.07564795932897,2.73992385690171,10658339.0957931,10629822.842699
"3987",80,2020-11-27,10597205.7908924,3.07536907734052,11.8290490718394,10658339.019088,10629822.8377796
"3988",80,2020-11-28,10597197.1492621,9.67236663627778,2.8080752461726,10658343.6377432,10629823.1339928
"3989",80,2020-11-29,10597195.8945045,0.807484201300718,12.2140806150635,10658344.308368,10629823.1770027
"3990",80,2020-11-30,10597189.8849759,2.79712870293268,13.1532258296617,10658347.1976239,10629823.3684856
"3991",80,2020-12-01,10597182.8277164,7.82923835235013,12.7506624840394,10658349.4516861,10629823.5421367
"3992",80,2020-12-02,10597176.5216725,8.85457185008608,15.8220966077941,10658351.5040748,10629823.6990243
"3993",80,2020-12-03,10597167.5296847,13.1909350621084,17.3181311361261,10658354.4395535,10629823.9231356
"3994",80,2020-12-04,10597157.5988235,16.3884833926193,20.5626622404735,10658357.6808544,10629824.1706165
"3995",80,2020-12-05,10597145.9940214,19.4060492454437,25.0730450147568,10658361.4685114,10629824.4598129
"3996",80,2020-12-06,10597131.8379082,25.306571808247,27.905349099764,10658366.5216701,10629824.8299408
"3997",80,2020-12-07,10597113.9306802,32.7141685311186,32.2018847176339,10658372.281896,10629825.2728106
"3998",80,2020-12-08,10597091.2394744,38.4744546256795,42.6721654023956,10658378.2353023,10629825.7800432
"3999",80,2020-12-09,10597066.9794561,40.6794840778288,56.4256916902134,10658385.9407227,10629826.3760854
"4000",80,2020-12-10,10597049.3147249,36.8729572234496,64.1542480431596,10658398.9526827,10629827.1068271
"4001",81,2020-10-22,10597326.8647025,3703.86254180342,10629.7743208933,10643894.0699333,10629821.8299415
"4002",81,2020-10-23,10597275.4557595,1462.70670042551,5396.93141579682,10651419.4085203,10629821.899044
"4003",81,2020-10-24,10597250.068055,580.584309881148,2588.09358240743,10655135.7223231,10629821.9331696
"4004",81,2020-10-25,10597238.0953628,230.450575677117,1197.58907618088,10656888.3171623,10629821.949263
"4005",81,2020-10-26,10597232.6203879,92.9410745934742,539.123937700164,10657689.7594175,10629821.9566224
"4006",81,2020-10-27,10597230.1802477,37.9575895548831,239.349557794161,10658046.9541426,10629821.9599024
"4007",81,2020-10-28,10597229.0879942,14.8207677617444,103.689932079131,10658206.8413754,10629821.9613705
"4008",81,2020-10-29,10597228.6317523,6.5038641483991,45.6764475949885,10658273.6273921,10629821.9619838
"4009",81,2020-10-30,10597228.3959307,3.46518814369208,20.2605717561233,10658302.3117429,10629821.9680065
"4010",81,2020-10-31,10597228.2195425,1.57349628857905,7.68113443730735,10658316.9480889,10629821.9791778
"4011",81,2020-11-01,10597228.0131344,0.776262893058811,6.08035701415005,10658319.52521,10629822.0064757
"4012",81,2020-11-02,10597226.9867336,1.8082635543702,1.13253768326742,10658326.5911395,10629822.147841
"4013",81,2020-11-03,10597226.8674415,1.34363618276863,1.39854508495836,10658327.4246484,10629822.164259
"4014",81,2020-11-04,10597227.7065709,0.84219106562121,5.92672538555514,10658321.5615639,10629822.0487709
"4015",81,2020-11-05,10597226.601234,1.14044199714311,2.82580834366025,10658329.2846755,10629822.2008969
"4016",81,2020-11-06,10597225.9873591,2.21036145842894,7.65555800892165,10658333.5738937,10629822.2853838
"4017",81,2020-11-07,10597227.814757,1.69854657882764,7.44568075993416,10658320.8056671,10629822.0338817
"4018",81,2020-11-08,10597227.8016704,1.75464034451596,7.42162812552455,10658320.8970992,10629822.0356826
"4019",81,2020-11-09,10597227.113411,0.385576265817341,1.83715864615476,10658325.7060398,10629822.1304068
"4020",81,2020-11-10,10597227.1039349,0.416378726623382,2.07015253029722,10658325.5164429,10629822.1272885
"4021",81,2020-11-11,10597225.3272294,2.30776452228317,0.774173845190124,10658327.3516954,10629822.1889245
"4022",81,2020-11-12,10597225.9296502,0.0530995737481325,1.63214702191704,10658326.7247965,10629822.1679458
"4023",81,2020-11-13,10597225.3013448,0.117886294418998,1.78012231406094,10658327.2502528,10629822.1876065
"4024",81,2020-11-14,10597223.5542674,1.89458702539729,0.108859757004059,10658328.6033183,10629822.2404076
"4025",81,2020-11-15,10597224.285473,0.96085237532937,2.82149089931495,10658328.0370198,10629822.2183087
"4026",81,2020-11-16,10597218.3755304,8.81687246966907,5.80201469264116,10658332.6141291,10629822.3969228
"4027",81,2020-11-17,10597221.9501705,0.255488414676515,2.06123484687454,10658329.8456584,10629822.2888878
"4028",81,2020-11-18,10597224.5319598,6.5379885340358,8.35049629766019,10658327.8461135,10629822.2108589
"4029",81,2020-11-19,10597219.6159832,0.915091932147165,1.85752248558126,10658331.6534101,10629822.3594323
"4030",81,2020-11-20,10597219.024561,0.0896153796159406,2.86984013878487,10658332.0387995,10629822.3786239
"4031",81,2020-11-21,10597216.6515141,3.101494407482,0.840045625260274,10658333.348469,10629822.4599168
"4032",81,2020-11-22,10597216.9936123,1.65941137924596,5.46162488199351,10658333.1573747,10629822.4482395
"4033",81,2020-11-23,10597212.4280853,5.99380452887144,0.219816152211292,10658335.5932069,10629822.6061594
"4034",81,2020-11-24,10597212.8215598,0.429830502312455,6.03387041762567,10658335.3832914,10629822.592549
"4035",81,2020-11-25,10597209.5682643,1.92391721172676,5.08528171197434,10658337.1188955,10629822.7050813
"4036",81,2020-11-26,10597205.1946947,6.12670827353447,2.77151293024409,10658339.4521597,10629822.8563645
"4037",81,2020-11-27,10597205.3131827,3.03050083853513,11.8775456503437,10658339.3889466,10629822.8522659
"4038",81,2020-11-28,10597196.6300155,9.74237676885728,2.85507992894977,10658344.0213483,10629823.1526195
"4039",81,2020-11-29,10597195.2880216,1.00708965797856,12.1699979527591,10658344.7372913,10629823.1990395
"4040",81,2020-11-30,10597189.3320402,2.71015011702396,13.3613351785325,10658347.6063235,10629823.3915911
"4041",81,2020-12-01,10597182.1440269,7.93429716188348,12.8480564728975,10658349.9020337,10629823.5730257
"4042",81,2020-12-02,10597175.8120774,8.9036601397334,16.0039282014483,10658351.947893,10629823.7338812
"4043",81,2020-12-03,10597166.7327862,13.289174788929,17.5171307181473,10658354.897133,10629823.9652152
"4044",81,2020-12-04,10597156.686142,16.5655372023158,20.7694823926171,10658358.1591451,10629824.2211332
"4045",81,2020-12-05,10597144.9690287,19.6120103144566,25.3372570799239,10658361.9635405,10629824.5196034
"4046",81,2020-12-06,10597130.6509864,25.5327911861709,28.2956127144489,10658367.0184025,10629824.9036472
"4047",81,2020-12-07,10597112.5660881,33.059235139523,32.6102957344561,10658372.805532,10629825.3602889
"4048",81,2020-12-08,10597089.6578435,38.916375013196,43.1456360718351,10658378.8061565,10629825.8754289
"4049",81,2020-12-09,10597065.15266,41.1437902457623,57.0225777252556,10658386.5909336,10629826.4914784
"4050",81,2020-12-10,10597047.3040109,37.261842703935,64.777068626965,10658399.7614019,10629827.2971159
"4051",82,2020-10-22,10597327.4182836,3703.16891457054,10630.9670102253,10643893.0181481,10629821.8290836
"4052",82,2020-10-23,10597276.3016449,1462.12144562757,5397.73801940428,10651418.3425978,10629821.8977323
"4053",82,2020-10-24,10597251.0578177,580.216876505721,2588.47601062869,10655134.7191008,10629821.9316344
"4054",82,2020-10-25,10597239.1531553,230.247666622123,1197.73573093843,10656887.317265,10629821.9476222
"4055",82,2020-10-26,10597233.7094128,92.8288605626614,539.165345974706,10657688.7428875,10629821.9549331
"4056",82,2020-10-27,10597231.2834093,37.9078559049056,239.353681202802,10658045.8983024,10629821.9581912
"4057",82,2020-10-28,10597230.1974515,14.7919386742496,103.679716577617,10658205.7726837,10629821.9596496
"4058",82,2020-10-29,10597229.7440211,6.49565911702766,45.6749259286527,10658272.5265753,10629821.9602586
"4059",82,2020-10-30,10597229.5088058,3.45927746823292,20.2486865772238,10658301.2187098,10629821.9659603
"4060",82,2020-10-31,10597229.3329305,1.57213219908197,7.68208221588293,10658315.8378705,10629821.9764245
"4061",82,2020-11-01,10597229.1236676,0.776621975731506,6.08253830978754,10658318.4162948,10629822.0023174
"4062",82,2020-11-02,10597228.0905894,1.8168091911316,1.13284154039078,10658325.4916087,10629822.1352742
"4063",82,2020-11-03,10597227.9734031,1.34500835644979,1.37330534048194,10658326.3059885,10629822.1503453
"4064",82,2020-11-04,10597228.8140174,0.8439290877436,5.92491303052755,10658320.4642033,10629822.0422354
"4065",82,2020-11-05,10597227.6993432,1.15276702621488,2.84681685005777,10658328.2105548,10629822.1855919
"4066",82,2020-11-06,10597227.089698,2.21063729794963,7.61014150505817,10658332.4472488,10629822.2639975
"4067",82,2020-11-07,10597228.9234463,1.70711351010528,7.4531989216399,10658319.7037461,10629822.0281621
"4068",82,2020-11-08,10597228.9043796,1.75178141351523,7.38198448851666,10658319.8362432,10629822.0306141
"4069",82,2020-11-09,10597228.2170771,0.387400550834806,1.8401551931476,10658324.6126013,10629822.119007
"4070",82,2020-11-10,10597228.2029586,0.409720489595803,2.04888232027022,10658324.442752,10629822.1165676
"4071",82,2020-11-11,10597226.4293067,2.31104838999609,0.796200702345847,10658326.2791788,10629822.1781068
"4072",82,2020-11-12,10597227.0504538,0.0698267782913888,1.62911224656049,10658325.6351596,10629822.1565412
"4073",82,2020-11-13,10597226.4363595,0.143046113128941,1.7790007927076,10658326.1531491,10629822.1759768
"4074",82,2020-11-14,10597224.7223405,1.82821633422446,0.13128396074327,10658327.4910876,10629822.2285116
"4075",82,2020-11-15,10597225.4100211,0.912359230016186,2.74204889888771,10658326.954295,10629822.2074342
"4076",82,2020-11-16,10597219.6034156,8.69655705226725,5.77080184452001,10658331.4868613,10629822.3854079
"4077",82,2020-11-17,10597223.2984498,0.0465036353029783,2.27477460691457,10658328.6025648,10629822.2721544
"4078",82,2020-11-18,10597225.5566193,6.16240322679761,7.96442921765803,10658326.8398541,10629822.2029406
"4079",82,2020-11-19,10597220.8685456,0.909963114128628,1.77700136154622,10658330.4992993,10629822.3466307
"4080",82,2020-11-20,10597220.3186662,0.0946386353649077,2.77507625949227,10658330.8490897,10629822.3639692
"4081",82,2020-11-21,10597218.0118205,3.03691881377438,0.78613097932891,10658332.1287191,10629822.4378506
"4082",82,2020-11-22,10597218.4003741,1.7324759796268,5.39621767720601,10658331.9119098,10629822.4254144
"4083",82,2020-11-23,10597213.8530849,6.01035156999152,0.390760254046732,10658334.3572434,10629822.5715203
"4084",82,2020-11-24,10597214.3975939,0.647253256652129,6.03263193060181,10658334.0644424,10629822.554025
"4085",82,2020-11-25,10597211.1257919,1.95717512070615,4.83552463145052,10658335.8237988,10629822.6591495
"4086",82,2020-11-26,10597206.953805,5.86238055907769,2.72483859212904,10658338.0672182,10629822.7931976
"4087",82,2020-11-27,10597207.1120992,3.10855172238447,11.6276834797452,10658337.9820975,10629822.7881115
"4088",82,2020-11-28,10597198.586135,9.58951413254363,2.59693538366191,10658342.5668003,10629823.0620552
"4089",82,2020-11-29,10597197.5460292,0.467215030973496,12.1666207865672,10658343.1261006,10629823.0954744
"4090",82,2020-11-30,10597191.5551413,2.78829163090606,12.7779536037988,10658346.0049321,10629823.2751213
"4091",82,2020-12-01,10597184.710049,7.60840770598458,12.4649383242356,10658348.1794437,10629823.4386012
"4092",82,2020-12-02,10597178.5448709,8.62694886717997,15.4520548854674,10658350.18978,10629823.5877853
"4093",82,2020-12-03,10597169.7492311,12.8942099246027,16.8956159073053,10658353.0616216,10629823.8007615
"4094",82,2020-12-04,10597160.0576685,15.9987900571797,20.083835317315,10658356.2257245,10629824.0354216
"4095",82,2020-12-05,10597148.7146262,18.9584860979598,24.4892520774989,10658359.9290067,10629824.310069
"4096",82,2020-12-06,10597134.8959117,24.7913881357669,27.1524508046563,10658364.8991578,10629824.6625316
"4097",82,2020-12-07,10597117.3811499,32.038037537322,31.3617136376334,10658370.5370549,10629825.083484
"4098",82,2020-12-08,10597095.1547431,37.6487715506802,41.7074784715859,10658376.3259871,10629825.5644598
"4099",82,2020-12-09,10597071.3880968,39.7813791117702,55.2761916598832,10658383.8259604,10629826.129812
"4100",82,2020-12-10,10597054.0965233,36.0484915296591,62.8474036580176,10658396.5833756,10629826.8256459
"4101",83,2020-10-22,10597327.3381667,3703.54340052348,10630.4967203146,10643893.1938687,10629821.8292837
"4102",83,2020-10-23,10597276.1798919,1462.41938697803,5397.46978022571,10651418.4343431,10629821.8980378
"4103",83,2020-10-24,10597250.915427,580.394396928963,2588.37907612701,10655134.7805479,10629821.9319921
"4104",83,2020-10-25,10597239.0008211,230.341213804104,1197.71595045646,10656887.3954498,10629821.9480048
"4105",83,2020-10-26,10597233.5524378,92.8795647910317,539.171560748712,10657688.8425494,10629821.9553272
"4106",83,2020-10-27,10597231.1242379,37.9284550932495,239.363755512887,10658046.0264009,10629821.9585906
"4107",83,2020-10-28,10597230.0373274,14.8046237404257,103.69042156215,10658205.9090159,10629821.9600514
"4108",83,2020-10-29,10597229.5833914,6.4981236844673,45.6770524257595,10658272.6822111,10629821.9606614
"4109",83,2020-10-30,10597229.3482784,3.46198158089347,20.256678204715,10658301.3682178,10629821.966284
"4110",83,2020-10-31,10597229.1722026,1.57326924414887,7.68266349676963,10658315.9966436,10629821.9766611
"4111",83,2020-11-01,10597228.9635989,0.776909684529811,6.08098447925956,10658318.5777229,10629822.002224
"4112",83,2020-11-02,10597227.9318761,1.81457758324457,1.12323001779745,10658325.644434,10629822.1337823
"4113",83,2020-11-03,10597227.8121647,1.34797139117263,1.3843086090244,10658326.4765763,10629822.1490362
"4114",83,2020-11-04,10597228.6529835,0.841411712899608,5.91610945280101,10658320.6318611,10629822.0418977
"4115",83,2020-11-05,10597227.5431591,1.14526630357703,2.81679950808569,10658328.3465007,10629822.1833135
"4116",83,2020-11-06,10597226.92654,2.21750100061937,7.63725104077001,10658332.6327658,10629822.2618843
"4117",83,2020-11-07,10597228.7582111,1.69601882289364,7.41034602899478,10658319.9004121,10629822.0284896
"4118",83,2020-11-08,10597228.7498026,1.76273480479489,7.42595558985269,10658319.9588557,10629822.029561
"4119",83,2020-11-09,10597228.0577783,0.388608483025818,1.84526157919647,10658324.7692688,10629822.1177398
"4120",83,2020-11-10,10597228.045517,0.414086554629556,2.05547259714558,10658324.5992358,10629822.1153012
"4121",83,2020-11-11,10597226.2733847,2.30684008330536,0.794073753393212,10658326.4384303,10629822.1768587
"4122",83,2020-11-12,10597226.8869642,0.0582884054968599,1.6171476212872,10658325.8000955,10629822.1555211
"4123",83,2020-11-13,10597226.2870981,0.157949403944911,1.7909293333324,10658326.3068194,10629822.1745425
"4124",83,2020-11-14,10597224.5626251,1.83459963834513,0.124074161681052,10658327.6526542,10629822.2274869
"4125",83,2020-11-15,10597225.2568749,0.917665742651477,2.74521847446843,10658327.1108401,10629822.2061722
"4126",83,2020-11-16,10597219.4545285,8.68487999820908,5.76147716147753,10658331.6391936,10629822.3843151
"4127",83,2020-11-17,10597223.114695,0.00925235612034015,2.22287669390458,10658328.7826747,10629822.2719413
"4128",83,2020-11-18,10597225.4283764,6.21245131772335,8.00762211238709,10658326.9769863,10629822.2009065
"4129",83,2020-11-19,10597220.7121805,0.915528771322051,1.77036739752083,10658330.6576612,10629822.3457022
"4130",83,2020-11-20,10597220.1739415,0.0739892732027805,2.7906230030034,10658331.0000753,10629822.362811
"4131",83,2020-11-21,10597217.8540162,3.04940525664526,0.772736037128907,10658332.2873132,10629822.4379693
"4132",83,2020-11-22,10597218.2516286,1.73997040260329,5.39916425188334,10658332.0655206,10629822.425097
"4133",83,2020-11-23,10597213.701897,6.00971502454552,0.393725945629704,10658334.5104621,10629822.5730917
"4134",83,2020-11-24,10597214.2360815,0.615583085419614,6.00181017470934,10658334.2234159,10629822.5557155
"4135",83,2020-11-25,10597210.9976777,1.90206232281305,4.87706125634947,10658335.963583,10629822.6610557
"4136",83,2020-11-26,10597206.7991987,5.88046291382081,2.70449896452958,10658338.2196535,10629822.7976259
"4137",83,2020-11-27,10597206.9652876,3.10490744229298,11.6184321349333,10658338.1304044,10629822.7922232
