date,region,param_a,param_c,param_b,param_d,latent_S,latent_E,latent_I,latent_R,latent_D,observed_I,observed_R,observed_D,data_I,data_R,data_D
2020-08-03,IT,0.4253982422553707,0.2,0.3149896333806094,0.0007222930559869778,0.9723123574625318,4334.075514070796,2941.308768086593,42221.381648331924,30.518253901639643,2264.025217309492,41638.49451128108,31.51303664530238,2496.0,1638.0,51.0
2020-08-10,IT,0.4253982422553707,0.2,0.3149896333806094,0.0007222930559869778,0.9458893609607606,5429.513132195276,3126.6445097317946,197991.0441268359,143.11092434731447,2361.1848530530333,195398.0186107795,144.1060738537101,3349.0,1688.0,191.0
2020-08-17,IT,0.4253982422553707,0.2,0.3149896333806094,0.0007222930559869778,0.9144653188512927,9726.692567388247,5656.336831069546,409868.38850218523,296.25907675762306,4625.777475114841,404852.67911760864,297.40644672584716,5430.0,1684.0,41.0
2020-08-24,IT,0.4253982422553707,0.2,0.3149896333806094,0.0007222930559869778,0.8776371699133027,14730.81311960332,8700.145273508448,700531.504446747,506.3547777017931,7420.941553122877,692462.4848738457,508.2227536388527,8873.0,2066.0,40.0
2020-08-31,IT,0.08355367257220137,0.2,0.06131716582301439,0.0011236271135821368,0.8455961308866341,13364.390747659054,15059.98654111985,1005561.2003331428,736.155598557895,13004.635253640505,994778.2547823384,738.3453738763685,9416.0,2479.0,64.0
2020-09-07,IT,0.08355367257220137,0.2,0.06131716582301439,0.0011236271135821368,0.8310395231240777,7955.000467490356,19886.087730889463,1195829.4542547637,924.516929318579,17040.293234340068,1183814.6903049913,926.0298351468164,10119.0,3619.0,69.0
2020-09-14,IT,0.08355367257220137,0.2,0.06131716582301439,0.0011236271135821368,0.8143632255554389,7560.396716212906,21955.87443125382,1425692.1777307764,1156.7389699261046,18882.34027589315,1412124.5122486711,1158.4493537543542,10403.0,4717.0,97.0
2020-09-21,IT,0.08355367257220137,0.2,0.06131716582301439,0.0011236271135821368,0.7972098255695546,8032.504106534401,24197.04859337211,1688086.1129047915,1423.8596274684269,20994.13692924535,1672991.6696988202,1423.9739521604772,11714.0,6066.0,128.0
2020-09-28,IT,0.22516648964760588,0.2,0.039776097516506334,0.0033792263709797954,0.7712297739600422,13609.801324062084,28371.9098691605,1965266.2576200839,1788.200181783194,24802.381475770224,1948721.3641627755,1789.587792984056,15459.0,7497.0,151.0
2020-10-05,IT,0.22516648964760588,0.2,0.039776097516506334,0.0033792263709797954,0.7107103421638753,30382.55155325578,51647.801550621574,2276210.200303776,2519.4361060082033,45786.11460054148,2258288.552487559,2520.5268465976387,29621.0,7795.0,180.0
2020-10-12,IT,0.22516648964760588,0.2,0.039776097516506334,0.0033792263709797954,0.6203712931536528,58760.715092917664,106520.99417550504,2777036.7589151203,3813.689712637595,96615.21381281548,2756756.7339274525,3818.7143955312426,59291.0,11752.0,377.0
