"","draw","date","a","c","b","d","r0","recovery_time"
"1",1,2020-03-16,0.229002010091914,0.144360380144089,0.173510917812116,0.000114505770980592,2.32328239863141,6.92710838667702
"2",1,2020-03-21,0.342368430715426,0.229321888230797,0.127780963659501,0.000225007776773755,2.38094079554701,4.36068274038266
"3",1,2020-03-26,0.0623213954305639,0.19803303096024,0.0462067270371036,0.000561859259888956,2.16437681909946,5.04966265047356
"4",1,2020-03-31,0.348927449771354,0.365233508703965,0.091807044179277,0.000627891370573212,2.42422755675214,2.73797440861467
"5",2,2020-03-16,0.23848662748053,0.108400160046296,0.110989194939074,0.000129837842815039,2.20005789086174,9.22507863063037
"6",2,2020-03-21,0.297059292018503,0.12453808862533,0.053096209764647,0.000112869865005573,1.19483896165289,8.02967197455931
"7",2,2020-03-26,0.615506450668245,0.251250755565143,0.141203188592931,0.000791125206747152,3.33425081209179,3.98008753347102
"8",2,2020-03-31,0.369781046775634,0.184179990859841,0.0520931884790452,0.00108436081877954,1.60957909497041,5.4294714389523
"9",3,2020-03-16,0.205683389341501,0.172143189118111,0.125249311634356,0.000183175294707253,2.38528867190341,5.80911742789822
"10",3,2020-03-21,0.137673027735141,0.0689499050258409,0.110989223755703,0.000339814178593758,1.99671091183583,14.503283211561
"11",3,2020-03-26,0.117716836225484,0.0357521179585743,0.0418833265538366,0.000840988733871701,1.92757094054139,27.9703709066605
"12",3,2020-03-31,0.343074059090835,0.288096681436152,0.0278382289282134,0.000373601109658105,9.31867344065821,3.47105699036529
"13",4,2020-03-16,0.266982695094264,0.0800727690088703,0.0755944753226564,0.000176373539896113,2.44976955107568,12.4886401754037
"14",4,2020-03-21,0.226424020665134,0.117465985766282,0.0583558587807783,0.000100132964338157,3.29258357118538,8.51310269501899
"15",4,2020-03-26,0.137298793862377,0.166603581138737,0.0562636772195122,0.00039775692265144,0.824104697653792,6.0022719389643
"16",4,2020-03-31,0.412419111144203,0.2060773018479,0.119642938591911,0.000218545531708503,2.77140648647507,4.85254800520474
"17",5,2020-03-16,0.116776230238839,0.0725507870993978,0.137052199432494,6.62884183171081e-05,2.00771563213419,13.7834479814803
"18",5,2020-03-21,0.386778597121291,0.0415057571857536,0.0991301508931829,0.000113143570323781,1.19082961102024,24.0930431777122
"19",5,2020-03-26,0.450351130603117,0.162499125552641,0.0152421372169936,0.000501499157835832,2.00128353509111,6.15387926919061
"20",5,2020-03-31,0.157641049807802,0.159962065367644,0.0467141988010715,0.0003116414598171,0.985490212604421,6.25148217298696
"21",6,2020-03-16,0.311466987931401,0.0874252488051219,0.250257156451748,0.000119185276032463,4.9791034471446,11.4383431979597
"22",6,2020-03-21,0.393271426128937,0.18461109338223,0.103743375579101,0.000336304040216726,3.48902980770791,5.41679257556607
"23",6,2020-03-26,0.0528709747476224,0.276764420931173,0.0909184515003852,8.28390631973403e-05,2.44794247894002,3.61318119083191
"24",6,2020-03-31,0.508226516981233,0.0745653748861034,0.102928682587554,0.000615928288844379,2.39301593046615,13.4110503907138
"25",7,2020-03-16,0.187291728022633,0.220041279160724,0.0538522875807632,0.000124715622511199,NA,4.5446018302301
"26",7,2020-03-21,0.479665874553273,0.083974390695688,0.0770132904835574,0.00022035556047615,NA,11.9083924481675
