"","V1","V2"
"1",3.30014815463999e-05,6.85010259802219e-05
"2",1.06656029468272e-05,7.13659068823911e-05
"3",1.77151064572861e-05,0.000120202142088883
"4",1.98910688096887e-05,1.3706094569931e-05
"5",2.26822530375829e-05,2.60070533793909e-05
"6",1.48919501250884e-05,0.00023083133599768
"7",5.85567771494856e-06,0.000169363858427032
"8",3.9345203916604e-05,5.32487338998258e-05
"9",3.17796481244803e-05,8.68493422130285e-05
"10",2.06273631590739e-05,5.32433868565958e-05
"11",1.05563067437131e-05,0.000186805418183773
"12",3.00046349426132e-05,0.000202088795404705
"13",1.58209721572839e-05,5.19773021275254e-05
"14",2.21685386377269e-05,2.55662649533818e-05
"15",2.25991196430328e-05,0.000157938184125915
"16",3.65617751924908e-05,0.000166243783401751
"17",2.52125371274133e-05,9.62880313309289e-05
"18",3.41669616661228e-05,0.000134439994195602
"19",2.6394529783163e-05,9.61337211465462e-05
"20",3.33826261632555e-05,3.4180568090027e-05
"21",5.77766602282509e-05,0.000130603321692414
"22",2.2538389079663e-05,0.000143236210789138
"23",2.45472501310971e-05,5.49502742538554e-05
"24",2.94685127811572e-06,6.82004624385395e-05
"25",3.50818938753371e-05,7.09609212366712e-05
"26",1.05935576151502e-05,9.57250127397244e-05
"27",1.94319977502173e-05,8.08174325581508e-05
"28",3.30313568140383e-05,4.41886814357142e-05
"29",4.01689529682246e-05,9.28190396699947e-05
"30",1.29835050538527e-05,7.69801782824694e-05
"31",9.33858739488039e-06,3.15937401824957e-05
"32",2.41230052078241e-05,0.00025595202167304
"33",6.50268683303748e-05,3.08902079256265e-05
"34",2.02279114059951e-05,6.35990745485967e-05
"35",1.80344187634977e-05,0.000112406595416108
"36",2.79767184711867e-05,6.10590911121526e-05
"37",2.69817993948673e-05,0.000116993331780668
"38",1.82099294391737e-05,8.01983734595698e-05
"39",2.44548572803838e-05,4.20338916916436e-05
"40",2.21052057460584e-05,5.48296335218822e-05
"41",1.30733778956089e-05,6.28653611549046e-05
"42",1.358997541276e-05,0.000133778699318576
"43",1.07722122519958e-05,1.50012361848091e-05
"44",1.55172324200883e-06,7.27710678231506e-05
"45",1.49867667993442e-05,5.05015965354561e-05
"46",2.06213501740068e-05,8.0064969871248e-05
"47",7.93116272552357e-06,8.23324620612373e-05
"48",3.14889523414452e-05,8.75303084591917e-05
"49",1.8990113781787e-05,2.18561758381651e-05
"50",3.00895149972303e-05,7.40513160575462e-05
"51",3.83726150483885e-05,9.12731482798255e-05
"52",2.37787520753119e-05,5.36518360904807e-05
"53",3.79357157980493e-05,2.96386981775267e-05
"54",3.10528674292678e-05,0.000147157481833219
"55",2.87040659533576e-05,0.00012854922371203
"56",3.04651259247682e-05,4.69291373786918e-05
"57",3.11313727505929e-05,5.46352209611234e-05
"58",3.2845173654415e-05,9.46983923939649e-05
"59",2.79865203480943e-06,0.000150221363220153
"60",1.35442427124043e-05,0.000143733670842309
"61",3.5448873832838e-05,6.91296610055644e-05
"62",2.05340807293705e-05,7.06138429926482e-05
"63",7.75749035231558e-06,6.97029953997396e-05
"64",3.29876691227846e-05,0.000119466023857007
