"","draw","date","a","c","b","d","r0","recovery_time"
"1",1,2020-10-22,0.0101153383839824,0.197194151172046,0.999900250992065,0.00150402307195631,0.0512963408085929,5.07114432175796
"2",1,2020-11-01,0.0830344074327971,0.479101032114095,0.900137381128504,0.477457878895758,0.0512937854858282,2.08724242481251
"3",1,2020-11-11,0.842141353047398,0.690083960374132,0.705322741393684,0.819567187122232,0.0512848404131649,1.4490990334826
"4",1,2020-11-21,0.582525368072813,0.850665540383162,0.34063366131024,0.182063237973465,0.0512856629162561,1.17555014577124
"5",1,2020-12-01,0.540404045688044,0.456134861266324,0.171247946254705,0.855798884944149,0.0512923408452354,2.19233407686445
"6",1,2020-12-11,0.166000423182354,0.527924670998736,0.265469655978323,0.468265224069892,0.0512907890744722,1.89420963810648
"7",2,2020-10-22,0.0101150326947606,0.197198015294762,0.999900252869427,0.00150412098452192,0.173312937912901,5.07104495197503
"8",2,2020-11-01,0.0830382024730047,0.479111796328822,0.90014534576995,0.477460308040204,0.173316965078468,2.08719553069339
"9",2,2020-11-11,0.842146368522622,0.690086864835337,0.705344661331991,0.819567726612691,0.173276015289597,1.44909293446501
"10",2,2020-11-21,0.582537568591956,0.85067047315791,0.340618854086622,0.182061673430993,0.173278837289392,1.17554332911984
"11",2,2020-12-01,0.540398873473148,0.456139788810065,0.171250307444865,0.855793130362417,0.173310695736482,2.19231039372537
"12",2,2020-12-11,0.166005742317582,0.527925421768255,0.265476761451303,0.46828322573364,0.173288916012667,1.89420694432664
"13",3,2020-10-22,0.0101140891475873,0.197214012291067,0.999900262791283,0.00150395191247839,1.22034622075671,5.07063361463438
"14",3,2020-11-01,0.0830355459345954,0.479209692096264,0.900157969951911,0.477396711139858,1.2203483524115,2.08676914614473
"15",3,2020-11-11,0.842147760566114,0.690116549545985,0.705340819943851,0.819548862485429,1.22029787739498,1.44903060310303
"16",3,2020-11-21,0.5825538902457,0.850670723408458,0.340634253244551,0.182060251842165,1.22030203548516,1.17554298329818
"17",3,2020-12-01,0.540423227676648,0.456127928460874,0.171245928055065,0.855780605048767,1.22033605276447,2.19236739871275
"18",3,2020-12-11,0.166012815497031,0.52793618757368,0.265449267405381,0.4683239320345,1.22032522504529,1.89416831718973
"19",4,2020-10-22,0.0101142162290215,0.197213327349144,0.999900262956199,0.00150393416158021,0.684787781353443,5.07065122546009
"20",4,2020-11-01,0.0830360263865167,0.479204660450476,0.900158271025623,0.477396674704819,0.684798152719966,2.08679105720706
"21",4,2020-11-11,0.842147062672771,0.690113626122038,0.705344064928062,0.819552081939586,0.684817138071391,1.44903674141215
"22",4,2020-11-21,0.58255324044234,0.850670133978123,0.340637094677092,0.182060285944387,0.684816848709681,1.17554379783329
"23",4,2020-12-01,0.540421465916443,0.456127223343257,0.171243986488907,0.855780778260533,0.684802222439282,2.19237078784805
"24",4,2020-12-11,0.166013237614064,0.527937983005629,0.265449405986215,0.468324425670782,0.684822886042735,1.89416187542872
"25",5,2020-10-22,0.0101149337315264,0.197201639949447,0.999900253917535,0.00150402329816891,1.18474620463731,5.07095174389195
"26",5,2020-11-01,0.08303712798934,0.479122927967456,0.900152616792428,0.477453701225009,1.18472206707266,2.08714703811445
"27",5,2020-11-11,0.842151669986526,0.690098164418538,0.705361230966682,0.819566756301134,1.1848062658654,1.44906920719399
"28",5,2020-11-21,0.582538320607539,0.850666515848216,0.340622148477103,0.182061702085576,1.18480423500123,1.17554879775993
"29",5,2020-12-01,0.54040017763364,0.456148113094414,0.171253733238171,0.855791342894629,1.18470330605487,2.19227038607309
"30",5,2020-12-11,0.166013500483175,0.527903558088161,0.265467934597717,0.468293490912805,1.18472513520356,1.89428539489593
"31",6,2020-10-22,0.0101147256972174,0.197203550183859,0.99990026283473,0.00150399896858513,0.31443960152177,5.07090262354642
"32",6,2020-11-01,0.0830321221680834,0.479154259133424,0.900145687124893,0.477427265431241,0.314449229896062,2.08701056275395
"33",6,2020-11-11,0.842147542869883,0.690100905550508,0.705350115844404,0.81955407767373,0.31445621536194,1.44906345138365
"34",6,2020-11-21,0.582555782703378,0.85066634684143,0.340628514988686,0.182059132969862,0.31445594550505,1.17554903131299
"35",6,2020-12-01,0.540404857578193,0.456143658575573,0.17124227555641,0.855789458761434,0.314476949320828,2.19229179491996
"36",6,2020-12-11,0.166004438097131,0.527908720332011,0.265467409914537,0.468299030929278,0.314456707577643,1.89426687130889
"37",7,2020-10-22,0.0101142764634146,0.197207778304404,0.999900264342859,0.00150397061687466,NA,5.07079390375987
"38",7,2020-11-01,0.0830335537953763,0.479174656241671,0.900152232404012,0.477411970916322,NA,2.08692172462404
"39",7,2020-11-11,0.842149297451546,0.690110535476201,0.7053447212566,0.819551653797994,NA,1.44904323089339
"40",7,2020-11-21,0.582555764093816,0.850666448035413,0.340636300611603,0.182058389889216,NA,1.17554889147147
"41",7,2020-12-01,0.540424040107664,0.456137510161523,0.171239523277315,0.855786278677133,NA,2.19232134547735
"42",7,2020-12-11,0.166010253849534,0.527927040587578,0.265452888693003,0.468314477214102,NA,1.89420113598843
"43",8,2020-10-22,0.0101148547324527,0.197202009346071,0.999900255134032,0.00150407606810265,NA,5.07094224504119
"44",8,2020-11-01,0.0830363658483689,0.479126237277467,0.900152724464933,0.477450451738495,NA,2.08713262225481
"45",8,2020-11-11,0.842155635741634,0.690098759172435,0.705357416997819,0.819563462080441,NA,1.4490679583299
"46",8,2020-11-21,0.582539860043889,0.850666467740866,0.34062341930516,0.18206298550532,NA,1.1755488642402
"47",8,2020-12-01,0.540397774963032,0.456155401627757,0.171254587550749,0.85579252541349,NA,2.19223535758115
"48",8,2020-12-11,0.166011604314652,0.527904809074889,0.265468056899819,0.468292714172181,NA,1.89428090596943
"49",9,2020-10-22,0.0101143662243813,0.197206557594095,0.999900262019197,0.00150395793562424,NA,5.0708252920183
"50",9,2020-11-01,0.0830309560413771,0.479168789612,0.900148457188077,0.477419800357202,NA,2.08694727553048
"51",9,2020-11-11,0.842150938824143,0.690107954698143,0.705347724093098,0.819550082047729,NA,1.44904864984118
"52",9,2020-11-21,0.582556635561522,0.850664916006738,0.340632057524276,0.182055684287283,NA,1.17555100860899
"53",9,2020-12-01,0.540406889628696,0.456146211712521,0.171239751695552,0.855784944274044,NA,2.19227952424657
"54",9,2020-12-11,0.166007376041454,0.527924404497507,0.265455827375652,0.468303899456133,NA,1.89421059432141
"55",10,2020-10-22,0.0101140460132193,0.197212296924428,0.999900262178514,0.00150396043236871,NA,5.07067771936757
"56",10,2020-11-01,0.0830354285822321,0.479203064323796,0.90015895798514,0.477397686885042,NA,2.08679800787814
"57",10,2020-11-11,0.842147469376622,0.690114461934442,0.705341035940571,0.819553043219866,NA,1.44903498645272
"58",10,2020-11-21,0.582553651092466,0.850670212197274,0.340639810246348,0.182058411771132,NA,1.17554368974201
"59",10,2020-12-01,0.540421920914477,0.456127463517706,0.171246091490238,0.855782111398583,NA,2.19236963345265
"60",10,2020-12-11,0.166011638535218,0.527938517001183,0.26545119291085,0.468327877705357,NA,1.89415995953513
"61",11,2020-10-22,0.010114662318054,0.197203277305891,0.999900255469608,0.00150403827079989,NA,5.07090964035479
"62",11,2020-11-01,0.0830375803490697,0.479133805786729,0.900150488366055,0.477445040266606,NA,2.08709965342149
"63",11,2020-11-11,0.842155956425278,0.690097849641975,0.705349537437526,0.819567800991194,NA,1.44906986816261
"64",11,2020-11-21,0.582541733855378,0.850667108321164,0.340616134343873,0.182063395390879,NA,1.17554797901326
"65",11,2020-12-01,0.540405114312995,0.456156003801095,0.171255331562757,0.855795420695745,NA,2.19223246360262
"66",11,2020-12-11,0.166009062145041,0.527901706848422,0.265467737631162,0.46830107979771,NA,1.89429203775454
"67",12,2020-10-22,0.0101149350211589,0.19720196788826,0.9999002535085,0.00150401639698666,NA,5.07094331110645
"68",12,2020-11-01,0.0830372112191323,0.479122644396834,0.900152880603967,0.477453047891815,NA,2.08714827340064
"69",12,2020-11-11,0.842151627971873,0.690098383754568,0.705360486838606,0.81956539658437,NA,1.449068746632
"70",12,2020-11-21,0.582537666485826,0.850666589641224,0.340621748577959,0.182060887934579,NA,1.17554869578428
"71",12,2020-12-01,0.540400340096011,0.456148036287685,0.171254014179265,0.855791432857975,NA,2.19227075521009
"72",12,2020-12-11,0.166013771244016,0.527903508493393,0.26546854463345,0.468293634988658,NA,1.89428557285771
"73",13,2020-10-22,0.0101148014859829,0.197202842727839,0.999900259488113,0.00150404883461379,NA,5.07092081517358
"74",13,2020-11-01,0.083035265916856,0.479141936392319,0.900152808035374,0.477440913303083,NA,2.08706423722679
"75",13,2020-11-11,0.842151541688294,0.690095753715715,0.705346962719814,0.81956317129063,NA,1.44907426920924
"76",13,2020-11-21,0.582545376638414,0.850665888438226,0.340625869759444,0.182062651318368,NA,1.17554966478783
"77",13,2020-12-01,0.540402618476362,0.456153512632305,0.171252599529082,0.855795903404431,NA,2.19224443593417
"78",13,2020-12-11,0.166009224496713,0.527902089536647,0.265463295035827,0.468290544945856,NA,1.89429066453919
"79",14,2020-10-22,0.0101140387923387,0.197212476683597,0.999900262479775,0.0015039520139633,NA,5.07067309744492
"80",14,2020-11-01,0.0830355547418405,0.479204047826371,0.900158474481153,0.477397492934266,NA,2.08679372500277
"81",14,2020-11-11,0.842147554240505,0.690114627450014,0.705341168122026,0.819553497478971,NA,1.44903463891936
"82",14,2020-11-21,0.582554276890239,0.850670511784723,0.340639081553077,0.182058313407908,NA,1.17554327574137
"83",14,2020-12-01,0.540421512512982,0.456127976722069,0.17124604174387,0.855782222952422,NA,2.19236716674655
"84",14,2020-12-11,0.166011467263752,0.527939075725085,0.265451198371067,0.468327596455368,NA,1.8941579549242
"85",15,2020-10-22,0.0101149397706498,0.197201805211409,0.99990025347778,0.00150401767026386,NA,5.07094749425826
"86",15,2020-11-01,0.083037210381175,0.479122792781312,0.900152861451719,0.477453504058666,NA,2.08714762701017
"87",15,2020-11-11,0.842151736225567,0.690098526881434,0.705360649838927,0.819565478520439,NA,1.44906844609424
"88",15,2020-11-21,0.582538009200707,0.850666486790522,0.340621760691456,0.182060946529462,NA,1.17554883791519
"89",15,2020-12-01,0.540400549407577,0.456148297558826,0.171254060275265,0.855791657910982,NA,2.19226949952836
"90",15,2020-12-11,0.166013717316386,0.527903437242388,0.265468384704554,0.468293302806333,NA,1.89428582852899
"91",16,2020-10-22,0.0101150713562041,0.197199320376448,0.999900254311388,0.00150401890509554,NA,5.07101139137309
"92",16,2020-11-01,0.083037835477688,0.479117171504879,0.900150825004359,0.477453673119839,NA,2.08717211461877
"93",16,2020-11-11,0.842151376813774,0.690098157391655,0.705360059879632,0.819565515914804,NA,1.44906922194905
"94",16,2020-11-21,0.582537018067483,0.850667301654965,0.340619465278229,0.182058258265056,NA,1.17554771184282
"95",16,2020-12-01,0.540398692465226,0.456142276367393,0.171251960212011,0.855792179923716,NA,2.19229843803069
"96",16,2020-12-11,0.166012433019371,0.527906005173337,0.265469682476395,0.468294511105075,NA,1.89427661401891
"97",17,2020-10-22,0.0101149489508925,0.197202445836369,0.999900253274023,0.00150401360937351,NA,5.0709310209558
"98",17,2020-11-01,0.0830367055232664,0.479124666415333,0.900152909917101,0.477453102142386,NA,2.08713946514526
"99",17,2020-11-11,0.842152005133553,0.690099283768472,0.705360034128113,0.819566045598805,NA,1.44906685678506
"100",17,2020-11-21,0.582537198060762,0.850666874860996,0.340620380931262,0.182060490639459,NA,1.175548301635
"101",17,2020-12-01,0.540401189932808,0.456148956505531,0.171253664996612,0.85579180338873,NA,2.19226633260505
"102",17,2020-12-11,0.166013036675349,0.527904552218518,0.265467660454595,0.468294073241575,NA,1.89428182764763
"103",18,2020-10-22,0.0101147192918271,0.19720345739138,0.999900262886537,0.00150399967040053,NA,5.07090500961831
"104",18,2020-11-01,0.0830318785750792,0.479154646008236,0.900145681394767,0.477427691941503,NA,2.08700887767832
"105",18,2020-11-11,0.842147713612662,0.690100998636743,0.705349840300186,0.819553621904403,NA,1.44906325592261
