date,region,param_a,param_c,param_b,param_d,latent_S,latent_E,latent_I,latent_R,latent_D,observed_I,observed_R,observed_D,data_I,data_R,data_D
2020-07-06,SE211,0.11341267237484146,0.2,0.020383663758557137,0.01901432215125418,0.9726174450693178,37.04413466131453,70.61845906224376,9.495260473390646,0.18404544085399205,71.6041395679425,10.582353651147614,1.19999248917932,339.0,,4.0
2020-07-13,SE211,0.11341267237484146,0.2,0.020383663758557137,0.01901432215125418,0.9573168261848592,37.241226348400076,83.29683639442483,43.81195728597945,0.8492016639217955,83.7713927665035,44.84677628901772,1.762608003305198,177.0,,4.0
2020-07-20,SE211,0.11341267237484146,0.2,0.020383663758557137,0.01901432215125418,0.9359216202543326,38.61171814086323,88.92662272198304,107.6166873334331,2.085920730561608,89.42793727548225,108.28171246639651,3.010493418848481,105.0,,0.0
2020-07-27,SE211,0.11341267237484146,0.2,0.020383663758557137,0.01901432215125418,0.9068982545392977,41.82762313035855,98.45610985739161,210.25729905475592,4.075390812684332,98.8118331702308,211.8562210516498,5.198249103579602,60.0,,0.0
2020-08-03,SE211,0.04952672646110744,0.2,0.007913069905908666,0.008976836035531132,0.8841671893062519,34.97432369029867,139.08748497314647,313.96470402617837,5.673520643810927,139.14462363559804,314.5497658922856,6.7051354566349675,63.0,,1.0
2020-08-10,SE211,0.04952672646110744,0.2,0.007913069905908666,0.008976836035531132,0.8626821297553714,35.888781245500354,176.67748192211945,431.97825673613943,7.109863833273976,177.06132107474014,432.43799993337905,8.067929379155311,81.0,,0.0
2020-08-17,SE211,0.04952672646110744,0.2,0.007913069905908666,0.008976836035531132,0.8379080890402892,36.15500863428779,188.38736492963886,578.3025782707109,8.770089220901406,189.1661011612958,579.3747562489317,9.802941345669456,68.0,,1.0
2020-08-24,SE211,0.04952672646110744,0.2,0.007913069905908666,0.008976836035531132,0.8099944140144543,50.04837443138908,269.33738306714554,777.3373920689037,10.98659749319445,269.28806679815733,779.3802162179995,12.149137919074674,62.0,,0.0
2020-08-31,SE211,0.10472691209108309,0.2,0.0004027608039782638,0.08831334043872711,0.760696342505148,128.17011465581524,365.02120513411273,954.5970209049086,13.679623540767462,365.0443145917085,955.4088761860521,14.635146382895439,32.0,,0.0
2020-09-07,SE211,0.10472691209108309,0.2,0.0004027608039782638,0.08831334043872711,0.7127504198158578,214.52645079940197,547.3007053157172,1178.2614140075111,17.540586061746602,548.1521222364672,1178.600762863907,18.78333250503119,78.0,,0.0
2020-09-14,SE211,0.10472691209108309,0.2,0.0004027608039782638,0.08831334043872711,0.6710624184328166,236.85415612485016,617.1187398488306,1451.5699808364736,22.347559021094312,618.8436869083909,1452.1033486492997,23.496492667875774,132.0,,1.0
2020-09-21,SE211,0.10472691209108309,0.2,0.0004027608039782638,0.08831334043872711,0.6348917716401269,156.51819356740742,423.281357667426,1661.2735824636,26.3436147684924,423.084962093062,1663.321208147641,27.369407183903444,105.0,,0.0
