"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164"
"1",1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.29974601694188,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.86296683327187,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.8656130728668,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.67878959431564,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.88330774223644,1.14855640002707,1.14855640002707,1.14855640002707,1.14855640002707,1.14855640002707,1.14855640002707,1.14855640002707,1.14855640002707,1.14855640002707,1.14855640002707,1.14855640002707,1.14855640002707,1.14855640002707,1.14855640002707,1.14855640002707
"2",1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.29974571423821,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86296789818124,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.86561207558192,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.67878847931378,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.88330788933312,1.1485566331668,1.1485566331668,1.1485566331668,1.1485566331668,1.1485566331668,1.1485566331668,1.1485566331668,1.1485566331668,1.1485566331668,1.1485566331668,1.1485566331668,1.1485566331668,1.1485566331668,1.1485566331668,1.1485566331668
"3",1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.29974596827832,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86296716362814,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.86561268715069,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.67878907376997,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.88330816423962,1.14855639781138,1.14855639781138,1.14855639781138,1.14855639781138,1.14855639781138,1.14855639781138,1.14855639781138,1.14855639781138,1.14855639781138,1.14855639781138,1.14855639781138,1.14855639781138,1.14855639781138,1.14855639781138,1.14855639781138
"4",1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.29974555601318,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86296787170606,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.86561139707694,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.67878815906817,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.88330824316911,1.14855648137756,1.14855648137756,1.14855648137756,1.14855648137756,1.14855648137756,1.14855648137756,1.14855648137756,1.14855648137756,1.14855648137756,1.14855648137756,1.14855648137756,1.14855648137756,1.14855648137756,1.14855648137756,1.14855648137756
"5",1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.2997454645066,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86296756535541,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.86561229906238,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.67878828752347,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.88330840995613,1.14855660990466,1.14855660990466,1.14855660990466,1.14855660990466,1.14855660990466,1.14855660990466,1.14855660990466,1.14855660990466,1.14855660990466,1.14855660990466,1.14855660990466,1.14855660990466,1.14855660990466,1.14855660990466,1.14855660990466
"6",1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.29974545244605,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86296746698924,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.86561225429178,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.67878816865508,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.88330834986264,1.14855659157375,1.14855659157375,1.14855659157375,1.14855659157375,1.14855659157375,1.14855659157375,1.14855659157375,1.14855659157375,1.14855659157375,1.14855659157375,1.14855659157375,1.14855659157375,1.14855659157375,1.14855659157375,1.14855659157375
"7",1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.29974592288105,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86296675374283,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.86561320609056,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.67878935271497,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.8833081762649,1.14855639430748,1.14855639430748,1.14855639430748,1.14855639430748,1.14855639430748,1.14855639430748,1.14855639430748,1.14855639430748,1.14855639430748,1.14855639430748,1.14855639430748,1.14855639430748,1.14855639430748,1.14855639430748,1.14855639430748
"8",1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.29974564650585,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86296751882266,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.86561220684156,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.67878815520624,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.88330821585586,1.14855637776548,1.14855637776548,1.14855637776548,1.14855637776548,1.14855637776548,1.14855637776548,1.14855637776548,1.14855637776548,1.14855637776548,1.14855637776548,1.14855637776548,1.14855637776548,1.14855637776548,1.14855637776548,1.14855637776548
"9",1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.29974596590883,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.86296657571967,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.8656133260224,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.67878961005918,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.88330774566515,1.14855643889279,1.14855643889279,1.14855643889279,1.14855643889279,1.14855643889279,1.14855643889279,1.14855643889279,1.14855643889279,1.14855643889279,1.14855643889279,1.14855643889279,1.14855643889279,1.14855643889279,1.14855643889279,1.14855643889279
"10",1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.29974608912376,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86296691464836,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.86561271247303,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.67878966734,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.88330764385777,1.14855641029853,1.14855641029853,1.14855641029853,1.14855641029853,1.14855641029853,1.14855641029853,1.14855641029853,1.14855641029853,1.14855641029853,1.14855641029853,1.14855641029853,1.14855641029853,1.14855641029853,1.14855641029853,1.14855641029853
