,date,week,region,deaths,tests,confirmed
103,2020-03-10,10,PL61,0.0,0.0,0.0
104,2020-03-10,10,PL62,0.0,0.0,0.0
105,2020-03-10,10,PL63,0.0,0.0,0.0
106,2020-03-10,10,PL71,0.0,0.0,0.0
107,2020-03-10,10,PL72,0.0,0.0,0.0
108,2020-03-10,10,PL81,0.0,0.0,1.0
109,2020-03-10,10,PL82,0.0,0.0,0.0
110,2020-03-10,10,PL84,0.0,0.0,0.0
111,2020-03-10,10,PL9,0.0,0.0,1.0
112,2020-03-11,10,PL21,0.0,0.0,0.0
113,2020-03-11,10,PL22,0.0,0.0,1.0
114,2020-03-11,10,PL41,0.0,0.0,1.0
115,2020-03-11,10,PL42,0.0,0.0,0.0
116,2020-03-11,10,PL43,0.0,0.0,0.0
117,2020-03-11,10,PL51,0.0,0.0,0.0
118,2020-03-11,10,PL52,0.0,0.0,1.0
119,2020-03-11,10,PL61,0.0,0.0,0.0
120,2020-03-11,10,PL62,0.0,0.0,2.0
121,2020-03-11,10,PL63,0.0,0.0,0.0
122,2020-03-11,10,PL71,0.0,0.0,1.0
123,2020-03-11,10,PL72,0.0,0.0,0.0
124,2020-03-11,10,PL81,0.0,0.0,1.0
125,2020-03-11,10,PL82,0.0,0.0,1.0
126,2020-03-11,10,PL84,0.0,0.0,0.0
127,2020-03-11,10,PL9,0.0,0.0,1.0
128,2020-03-12,10,PL21,0.0,0.0,0.0
129,2020-03-12,10,PL22,0.0,0.0,3.0
130,2020-03-12,10,PL41,0.0,0.0,3.0
131,2020-03-12,10,PL42,0.0,0.0,1.0
132,2020-03-12,10,PL43,0.0,0.0,0.0
133,2020-03-12,10,PL51,0.0,0.0,3.0
134,2020-03-12,10,PL52,0.0,0.0,1.0
135,2020-03-12,10,PL61,0.0,0.0,0.0
136,2020-03-12,10,PL62,0.0,0.0,0.0
137,2020-03-12,10,PL63,0.0,0.0,0.0
138,2020-03-12,10,PL71,0.0,0.0,1.0
139,2020-03-12,10,PL72,0.0,0.0,0.0
140,2020-03-12,10,PL81,0.0,0.0,4.0
141,2020-03-12,10,PL82,0.0,0.0,2.0
142,2020-03-12,10,PL84,0.0,0.0,0.0
143,2020-03-12,10,PL9,0.0,0.0,2.0
144,2020-03-13,10,PL21,0.0,0.0,0.0
145,2020-03-13,10,PL22,0.0,0.0,1.0
146,2020-03-13,10,PL41,0.0,0.0,1.0
147,2020-03-13,10,PL42,0.0,0.0,2.0
148,2020-03-13,10,PL43,0.0,0.0,0.0
149,2020-03-13,10,PL51,1.0,0.0,1.0
150,2020-03-13,10,PL52,0.0,0.0,0.0
151,2020-03-13,10,PL61,0.0,0.0,0.0
152,2020-03-13,10,PL62,0.0,0.0,0.0
153,2020-03-13,10,PL63,0.0,0.0,0.0
154,2020-03-13,10,PL71,0.0,0.0,3.0
155,2020-03-13,10,PL72,0.0,0.0,0.0
156,2020-03-13,10,PL81,0.0,0.0,1.0
157,2020-03-13,10,PL82,0.0,0.0,3.0
158,2020-03-13,10,PL84,0.0,0.0,0.0
159,2020-03-13,10,PL9,0.0,0.0,5.0
160,2020-03-14,10,PL21,0.0,0.0,0.0
161,2020-03-14,10,PL22,0.0,0.0,0.0
162,2020-03-14,10,PL41,0.0,0.0,1.0
163,2020-03-14,10,PL42,0.0,0.0,0.0
164,2020-03-14,10,PL43,0.0,0.0,0.0
165,2020-03-14,10,PL51,0.0,0.0,5.0
166,2020-03-14,10,PL52,0.0,0.0,2.0
167,2020-03-14,10,PL61,0.0,0.0,0.0
168,2020-03-14,10,PL62,0.0,0.0,0.0
169,2020-03-14,10,PL63,0.0,0.0,2.0
170,2020-03-14,10,PL71,0.0,0.0,10.0
171,2020-03-14,10,PL72,0.0,0.0,2.0
172,2020-03-14,10,PL81,1.0,0.0,8.0
173,2020-03-14,10,PL82,0.0,0.0,1.0
174,2020-03-14,10,PL84,0.0,0.0,0.0
175,2020-03-14,10,PL9,0.0,0.0,5.0
176,2020-03-15,10,PL21,0.0,0.0,0.0
177,2020-03-15,10,PL22,0.0,0.0,2.0
178,2020-03-15,10,PL41,0.0,0.0,0.0
179,2020-03-15,10,PL42,0.0,0.0,1.0
180,2020-03-15,10,PL43,0.0,0.0,1.0
181,2020-03-15,10,PL51,0.0,0.0,2.0
182,2020-03-15,10,PL52,0.0,0.0,0.0
183,2020-03-15,10,PL61,0.0,0.0,0.0
184,2020-03-15,10,PL62,0.0,0.0,1.0
185,2020-03-15,10,PL63,0.0,0.0,0.0
186,2020-03-15,10,PL71,0.0,0.0,4.0
187,2020-03-15,10,PL72,0.0,0.0,1.0
188,2020-03-15,10,PL81,0.0,0.0,2.0
189,2020-03-15,10,PL82,0.0,0.0,1.0
190,2020-03-15,10,PL84,0.0,0.0,0.0
191,2020-03-15,10,PL9,0.0,0.0,6.0
192,2020-03-16,11,PL21,0.0,0.0,1.0
193,2020-03-16,11,PL22,0.0,0.0,4.0
194,2020-03-16,11,PL41,0.0,0.0,4.0
195,2020-03-16,11,PL42,0.0,0.0,0.0
196,2020-03-16,11,PL43,0.0,0.0,0.0
197,2020-03-16,11,PL51,0.0,0.0,12.0
198,2020-03-16,11,PL52,0.0,0.0,2.0
199,2020-03-16,11,PL61,0.0,0.0,0.0
200,2020-03-16,11,PL62,0.0,0.0,0.0
201,2020-03-16,11,PL63,0.0,0.0,0.0
202,2020-03-16,11,PL71,0.0,0.0,12.0
203,2020-03-16,11,PL72,0.0,0.0,0.0
204,2020-03-16,11,PL81,0.0,0.0,1.0
205,2020-03-16,11,PL82,1.0,0.0,3.0
206,2020-03-16,11,PL84,0.0,0.0,0.0
207,2020-03-16,11,PL9,0.0,0.0,13.0
208,2020-03-17,11,PL21,0.0,0.0,3.0
209,2020-03-17,11,PL22,0.0,0.0,6.0
210,2020-03-17,11,PL41,0.0,0.0,2.0
211,2020-03-17,11,PL42,0.0,0.0,2.0
212,2020-03-17,11,PL43,0.0,0.0,0.0
213,2020-03-17,11,PL51,1.0,0.0,11.0
214,2020-03-17,11,PL52,0.0,0.0,2.0
215,2020-03-17,11,PL61,0.0,0.0,8.0
216,2020-03-17,11,PL62,0.0,0.0,2.0
217,2020-03-17,11,PL63,0.0,0.0,6.0
218,2020-03-17,11,PL71,0.0,0.0,11.0
219,2020-03-17,11,PL72,0.0,0.0,0.0
220,2020-03-17,11,PL81,0.0,0.0,4.0
221,2020-03-17,11,PL82,0.0,0.0,0.0
222,2020-03-17,11,PL84,0.0,0.0,1.0
223,2020-03-17,11,PL9,0.0,0.0,3.0
224,2020-03-18,11,PL21,0.0,0.0,1.0
225,2020-03-18,11,PL22,0.0,0.0,6.0
226,2020-03-18,11,PL41,0.0,0.0,0.0
227,2020-03-18,11,PL42,0.0,0.0,0.0
228,2020-03-18,11,PL43,0.0,0.0,1.0
229,2020-03-18,11,PL51,0.0,0.0,2.0
230,2020-03-18,11,PL52,0.0,0.0,1.0
231,2020-03-18,11,PL61,0.0,0.0,0.0
232,2020-03-18,11,PL62,0.0,0.0,4.0
233,2020-03-18,11,PL63,0.0,0.0,1.0
234,2020-03-18,11,PL71,0.0,0.0,0.0
235,2020-03-18,11,PL72,0.0,0.0,1.0
236,2020-03-18,11,PL81,0.0,0.0,0.0
237,2020-03-18,11,PL82,0.0,0.0,3.0
238,2020-03-18,11,PL84,0.0,0.0,0.0
239,2020-03-18,11,PL9,0.0,0.0,28.0
240,2020-03-19,11,PL21,0.0,0.0,1.0
241,2020-03-19,11,PL22,0.0,0.0,12.0
242,2020-03-19,11,PL41,0.0,0.0,2.0
243,2020-03-19,11,PL42,0.0,0.0,1.0
244,2020-03-19,11,PL43,0.0,0.0,6.0
245,2020-03-19,11,PL51,0.0,0.0,13.0
246,2020-03-19,11,PL52,0.0,0.0,1.0
247,2020-03-19,11,PL61,0.0,0.0,3.0
248,2020-03-19,11,PL62,0.0,0.0,1.0
249,2020-03-19,11,PL63,0.0,0.0,0.0
250,2020-03-19,11,PL71,0.0,0.0,6.0
251,2020-03-19,11,PL72,0.0,0.0,1.0
252,2020-03-19,11,PL81,0.0,0.0,3.0
253,2020-03-19,11,PL82,0.0,0.0,3.0
254,2020-03-19,11,PL84,0.0,0.0,0.0
255,2020-03-19,11,PL9,0.0,0.0,16.0
256,2020-03-20,11,PL21,0.0,0.0,7.0
257,2020-03-20,11,PL22,0.0,0.0,4.0
258,2020-03-20,11,PL41,0.0,0.0,3.0
259,2020-03-20,11,PL42,0.0,0.0,0.0
260,2020-03-20,11,PL43,0.0,0.0,0.0
261,2020-03-20,11,PL51,0.0,0.0,5.0
262,2020-03-20,11,PL52,0.0,0.0,0.0
263,2020-03-20,11,PL61,0.0,0.0,3.0
264,2020-03-20,11,PL62,0.0,0.0,5.0
265,2020-03-20,11,PL63,0.0,0.0,1.0
266,2020-03-20,11,PL71,0.0,0.0,9.0
267,2020-03-20,11,PL72,0.0,0.0,1.0
