"","draw","date","s","e","i","r","d"
"1",1,2020-03-22,10628765.2518133,313.187485908998,329.856996765971,613.885322068458,13.1176619834588
"2",1,2020-03-23,10628759.6369835,251.602925570339,168.157018163301,837.447562790914,18.4547899594366
"3",1,2020-03-24,10628756.5194205,200.958566766181,94.8254700332662,961.577660140662,21.4181625445622
"4",1,2020-03-25,10628754.6661585,159.942508308385,62.1429750164468,1035.36787305004,23.1797650781532
"5",1,2020-03-26,10628753.3644939,127.159345799313,43.162913974875,1087.19547478323,24.417051581653
"6",1,2020-03-27,10628752.4833293,100.941561257528,34.3394726098971,1122.28028150987,25.2546353476208
"7",1,2020-03-28,10628751.7171087,80.2039305357844,24.6068491627304,1152.78843155228,25.9829600439582
"8",1,2020-03-29,10628751.1889901,63.6520662394346,20.1570474234108,1173.81621733765,26.4849588762533
"9",1,2020-03-30,10628750.7859002,50.5026377662603,17.1405386374986,1190.00540437188,26.8647989752349
"10",1,2020-03-31,10628750.4499272,40.2644961078884,12.5369284537404,1204.89978684559,27.1481414256221
"11",1,2020-04-01,10628748.1897161,30.1190157749412,11.8782214886985,1213.89295310751,31.2193735364466
"12",1,2020-04-02,10628745.7408542,21.9108997651022,11.6642607630909,1220.27299889866,35.7102663819101
"13",1,2020-04-03,10628744.007785,15.6812980740206,11.7314127451418,1224.99520861335,38.8835755742708
"14",1,2020-04-04,10628741.368955,12.9513180410947,5.07823699642632,1232.18540580692,43.7153641283186
"15",1,2020-04-05,10628739.0322372,11.4018791332073,1.68122834944548,1238.55241731937,47.9939746477695
"16",1,2020-04-06,10628738.9177829,7.826078263204,1.48759591722979,1238.86427856354,48.2035443646284
"17",1,2020-04-07,10628738.3335977,5.83074741118982,1.40567744538166,1240.45604881813,49.2732086714249
"18",1,2020-04-08,10628738.2929548,3.74952271914802,3.34238322872432,1240.56679172281,49.347627534337
"19",1,2020-04-09,10628737.5292355,3.22682047111204,1.14944960235812,1242.64774989837,50.7460244938999
"20",1,2020-04-10,10628736.897732,2.9061605013445,0.742007166650799,1244.34651338769,51.8908812317032
"21",1,2020-04-11,10628736.528738,2.03135545499199,0.0418244442681737,1244.5495705155,52.1477916001894
"22",1,2020-04-12,10628736.5575976,0.669615820280213,1.39944581030639,1244.541070478,52.1315502594543
"23",1,2020-04-13,10628735.0021307,2.07186731332433,0.842828021427806,1245.697022466,53.3710875103606
"24",1,2020-04-14,10628736.004122,0.444157861418338,2.21583582387452,1244.9513908007,52.5720892398973
"25",1,2020-04-15,10628733.6726266,2.51692680387576,2.00789610042662,1246.68637373417,54.4312489666665
"26",1,2020-04-16,10628735.9145417,1.71249399661838,3.43565664938184,1245.01805299542,52.6435226040751
"27",1,2020-04-17,10628732.2389653,3.62420612196331,3.8915999061184,1247.7532376436,55.5744708255625
"28",1,2020-04-18,10628736.5292602,3.69086839615921,5.74692993112262,1244.56061428595,52.1533439344706
"29",1,2020-04-19,10628731.6130471,4.0673327572879,8.01465921642379,1249.29492963805,58.3386297410858
"30",1,2020-04-20,10628740.3069565,4.05647264615402,28.4525236188785,1235.21395945803,35.3823130678417
"31",1,2020-04-21,10628722.7934258,15.1224420702465,19.1821649456658,1242.001291879,36.1999553359154
"32",1,2020-04-22,10628712.2147263,8.77657610048469,28.4579381760256,1247.08493078388,38.7651086312431
"33",1,2020-04-23,10628694.3849807,16.9864783284485,25.1862211554427,1255.65308591669,43.088513929107
"34",1,2020-04-24,10628678.6039225,15.98107836016,30.5623812992953,1263.23674529242,46.9151525244652
"35",1,2020-04-25,10628658.3719953,21.6368751299864,30.5100424165309,1272.95930724417,51.8210599455456
"36",1,2020-04-26,10628637.8686944,22.9511531730705,34.8743600451521,1282.8122939987,56.7927784163249
"37",1,2020-04-27,10628615.4018897,23.616237537602,40.4316478910451,1293.6088781863,62.240626704782
"38",1,2020-04-28,10628586.2364188,34.9079132778825,37.2175338563041,1307.62459632568,69.3128177561686
"39",1,2020-04-29,10628563.0227275,24.3544541018445,54.200156348578,1318.78014571322,74.941796290647
"40",1,2020-04-30,10628529.3531799,31.6870201862561,56.5439081341289,1335.02162999126,82.6935418076202
"41",1,2020-05-01,10628503.2063449,40.1674454719959,34.2104445463735,1343.91199439598,113.803050650421
"42",1,2020-05-02,10628486.089628,40.0347449121186,22.7107642454309,1349.28538906677,137.178753802337
"43",1,2020-05-03,10628476.8364753,30.9294703105796,25.5276260051897,1352.19020944775,149.815498931902
"44",1,2020-05-04,10628463.6510049,31.0777115096229,16.4186083514331,1356.32948802151,167.822467176627
"45",1,2020-05-05,10628456.2510911,24.7129585250615,17.7544041861403,1358.65252540388,177.928300748883
"46",1,2020-05-06,10628446.9729218,23.6267371816064,12.5351980810346,1361.5652017145,190.599221272325
"47",1,2020-05-07,10628439.376224,21.8913926346549,9.10783149796421,1363.95001879799,200.973813058478
"48",1,2020-05-08,10628436.6460262,14.2094733632339,14.9343152541075,1364.80710370323,204.70236149915
"49",1,2020-05-09,10628430.6854953,13.5948756430751,10.9727925107028,1366.98353675424,213.062579803569
"50",1,2020-05-10,10628424.4354534,13.1062744111156,8.42736526930595,1368.240487596,221.089699355297
"51",2,2020-03-22,10628765.252207,313.18502710456,329.85836896025,613.886069729365,13.1176072409229
"52",2,2020-03-23,10628759.6375265,251.599146180812,168.158274350017,837.44959894832,18.4547340048293
"53",2,2020-03-24,10628756.5200396,200.95415182326,94.8262944003505,961.580681777829,21.418112364066
"54",2,2020-03-25,10628754.6668238,159.937896785169,62.1433961950925,1035.37144573061,23.17971749974
"55",2,2020-03-26,10628753.365195,127.154812010605,43.162975700407,1087.19929478605,24.4170024955344
"56",2,2020-03-27,10628752.4840609,100.937272472273,34.3393432483839,1122.28402400751,25.2545793936379
"57",2,2020-03-28,10628751.7178704,80.1999757365777,24.6065774527251,1152.79196172073,25.9828946579819
"58",2,2020-03-29,10628751.1897759,63.6484947853314,20.1566548809924,1173.81947056954,26.4848838717295
"59",2,2020-03-30,10628750.7867068,50.4994541615571,17.1401810833434,1190.008220491,26.8647175059114
"60",2,2020-03-31,10628750.4508114,40.2619001228498,12.536052625023,1204.90258358819,27.1479322412473
"61",2,2020-04-01,10628748.1912917,30.117457733398,11.8772304504716,1213.89533851118,31.2179616565428
"62",2,2020-04-02,10628745.7406928,21.9123351054116,11.6546759450362,1220.27941951314,35.7121566134142
"63",2,2020-04-03,10628744.0063677,15.6850033761006,11.7152708588202,1225.0047919302,38.8878461550604
"64",2,2020-04-04,10628741.3713423,12.9498692704817,5.08104907522142,1232.18422838131,43.712790993353
"65",2,2020-04-05,10628739.0381433,11.3956051723676,1.66083855021217,1238.54130304157,47.9850670664859
"66",2,2020-04-06,10628738.9208518,7.82404101883859,1.49367280706876,1238.86087726568,48.1998371272765
"67",2,2020-04-07,10628738.3358403,5.83000334066437,1.40758343500591,1240.45481138139,49.2710415646403
"68",2,2020-04-08,10628738.2950249,3.74910585278081,3.34335279024144,1240.56601824493,49.3457782080888
"69",2,2020-04-09,10628737.5326795,3.22448062804784,1.15730585110818,1242.64311896329,50.7416950684026
"70",2,2020-04-10,10628736.8985152,2.90791821041332,0.749469902629399,1244.35023816044,51.8920783827125
"71",2,2020-04-11,10628736.5308732,2.03351407986748,0.0364883603774026,1244.55111671767,52.1472876085021
"72",2,2020-04-12,10628736.5633586,0.667196829834683,1.40052436675822,1244.54000077975,52.1281994177338
"73",2,2020-04-13,10628734.9992233,2.08432575098918,0.861364945884909,1245.70244866846,53.3746472300381
